rank,score,name,domain,city,source,band_label,hc_num,pre2024_grade,pre2024_evidence,pre2024_confidence,owned_ip,ownip_quote,repo_host_hits,review_gate_hits,cicd_hits,nongit_hits,jd_chars,jd_quote,dev_quote,years_active,contact_name,contact_title,contact_linkedin,identity_status,why_this_rank
97,85,TechTez LLP,techtez.com,"Bengaluru, India",goodfirms,50-249,150,PROVEN_EQUIV,goodfirms_founded=2021; rdap=2017-12-21; wayback=20230805,Verified,1,"r scale cloud-native, AI-powered systems If your platform needs real engineering, not tech",0,0,1,0,7177,,g Building large-scale business applications Application Development and Maintenance Creat,9,,,,identity_pending,"PROVEN_EQUIV(goodfirms_founded=2021); owned IP: r scale cloud-native, AI-powered systems; jd 7177ch; ~150 staff"
98,85,Esferasoft Solutions Pvt. Ltd.,esferasoft.com,"Mohali, India",goodfirms,50-249,150,PROVEN_EQUIV,goodfirms_founded=2007; rdap=2013-01-14; wayback=20230604,Verified,1,are baked into everything we build — giving your product a measurable edge from day one. E,0,0,1,0,6621,,Digital Product Engineering Company | Custom Product Development Home Se,13,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2007); owned IP: are baked into everything we build — giv; jd 6621ch; ~150 staff
99,85,Ahex Technologies Pvt. Ltd.,ahex.co,"Hyderabad, India",goodfirms+nasscom,50-249,150,PROVEN_EQUIV,goodfirms_founded=2009; nasscom_harvest=nasscom:UNKNOWN; goodfirms_founded:2009; wayback=20230601,Verified,1,"India Clutch ★★★★★ ""Ahex Technologies treats our product as if it were their own."" HK Hima",0,0,1,0,6081,pre-2024: unknown,ologies AI Close AI Open AI AI Services 🌐 AI Development Services Full-cycle AI solutions ,17,,,,identity_pending,"PROVEN_EQUIV(goodfirms_founded=2009); owned IP: India Clutch ★★★★★ ""Ahex Technologies tr; jd 6081ch; ~150 staff"
100,85,SSTech System,sstechsystem.com,"Ahmedabad, India",goodfirms,10-49,30,PROVEN_EQUIV,goodfirms_founded=2011; rdap=2015-05-21; wayback=20230605,Verified,1,rupal Our Work Portfolio Logistics portfolio Our products Case Study Blog ☰ ✕ Get In Touch,0,1,0,0,5583,"responsiveness, and usability Participate in code reviews and team meetings Stay updated w",entiality Services Hire Dedicated Developers Application Development Software Devlopment A,11,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2011); owned IP: rupal Our Work Portfolio Logistics portf; review-gate JD x1; jd 5583ch; ~30 staff
101,85,Overseas Web Solution,overseaswebsolution.com,"Ahmedabad, India",goodfirms,10-49,30,PROVEN_EQUIV,rdap=2014-06-19; wayback=20221205,Verified,1,lution.com Home Services --> Services Build your platform with state-of-the-art technologi,2,0,2,0,5511,er Kubernetes Jenkins Google Cloud AWS Azure GitHub Portfolio Company About Us Blog Career,d Solution Software QA Services UI/UX Design Custom Software Development Hire --> Hiring T,12,,,,identity_pending,PROVEN_EQUIV(rdap=2014-06-19); owned IP: lution.com Home Services --> Services Bu; jd 5511ch; ~30 staff
102,85,System Logic Solution,systemlogicsolution.com,"Jaipur, India",goodfirms,10-49,30,PROVEN_EQUIV,goodfirms_founded=2018; copyright_footer=2014; wayback=20230605,Verified,1,pment Digital Marketing SEO Service Bulk SMS Our Products Taxi App E-Learning App School M,0,1,0,0,5487,"guidance, experience, oversight, advice and code reviews Work with the quality assurance t",r Services Web Designing Website Development Software Development E-Commerce Website App D,8,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2018); owned IP: pment Digital Marketing SEO Service Bulk; review-gate JD x1; jd 5487ch; ~30 staff
103,82,Rejoicehub,rejoicehub.com,"Surat, India",goodfirms,50-249,150,EXISTED_2COR,goodfirms_founded=2019; rdap=2018-12-17,Verified,1,g experiences that connect AI directly into your product and drive meaningful user interac,1,0,1,0,8321,Sitemap RejoiceHub on LinkedIn RejoiceHub on GitHub RejoiceHub on X RejoiceHub on Instagra,,8,,,,identity_pending,EXISTED_2COR(goodfirms_founded=2019); owned IP: g experiences that connect AI directly i; jd 8321ch; ~150 staff
104,80,Pattem Digital Technologies Private Limited,pattemdigital.com,"Bengaluru, India",goodfirms,10-49,30,PROVEN_EQUIV,goodfirms_founded=2017; rdap=2017-05-24; wayback=20230601,Verified,1,looking closely at how people move through your product and where design choices impact yo,0,0,2,0,457727,,Top Software Product Development Company | Pattem Digital About Us Services S,9,(verify),,,identity_name_only,PROVEN_EQUIV(goodfirms_founded=2017); owned IP: looking closely at how people move throu; jd 457727ch; ~30 staff
105,80,Bluebash Consulting Private Limited,bluebash.co,Mohali,nasscom,,,PROVEN_EQUIV,nasscom_harvest=nasscom:PROVEN - 20230601 snapshot: 'Blu; wayback=20230601,Verified,1,g Our Culture Contact Media Kit Explore More Our Products NextBrand uCV Explore More conta,0,2,0,0,129397,"Wayback 2023: 'Top Software Development Company In USA,UK' | JD: 'Oversee code reviews to ","Web and Software Development, AI Expert and Cloud Solutions Industries He",0,,,,identity_pending,PROVEN_EQUIV(nasscom_harvest=nasscom:PROVEN - 20230601 snapshot: 'Blu); owned IP: g Our Culture Contact Media Kit Explore ; review-gate JD x2; jd 129397ch
106,80,CaliberFocus Business Solutions Private Limited,caliberfocus.com,Chennai,nasscom,,,DOMAIN_ONLY,nasscom_harvest=nasscom:UNKNOWN - no snapshot and no RDA,Verified,1,hcare RCM AI-assisted medical coding through our platform reduces errors and accelerates c,6,6,9,0,125955,"JD: 'Manage code reviews, architecture decisions, and system integrations' | JD: 'Agile me",ade data preparation Application Engineering Build Applications Custom Application Develop,0,Arun Manivel,Director,,identity_name_only,DOMAIN_ONLY(nasscom_harvest=nasscom:UNKNOWN - no snapshot and no RDA); owned IP: hcare RCM AI-assisted medical coding thr; review-gate JD x6; jd 125955ch
107,80,Fare Portal India Private Limited,fareportal.com,Gurugram,nasscom,,,EXISTED_2COR,rdap=2002-08-19; copyright_footer=2002; nasscom_harvest=nasscom:EXISTED_NO_SW_WORDING; rdap:2002,Verified,1,"ation, and machine-assisted decision making, our platforms help brands and partners adapt ",8,0,0,0,87785,"trophy:before{content:""\f091""}.awsm-job-icon-github-square:before{content:""\f092""}.awsm-jo",,24,,,,identity_pending,"EXISTED_2COR(rdap=2002-08-19); owned IP: ation, and machine-assisted decision mak; jd 87785ch"
108,80,InspironLabs,inspironlabs.com,"Bengaluru, India",goodfirms,10-49,30,PROVEN_EQUIV,goodfirms_founded=2018; rdap=2018-06-16; wayback=20230520,Verified,1,"ll product development, Design, and testing. Our product has evolved with the help of the ",8,0,0,0,71663,"trophy:before{content:""\f091""}.awsm-job-icon-github-square:before{content:""\f092""}.awsm-jo",NextGen Product Engineering with GenAI | InspironLabs Skip to content In,8,Nandan upadhyay,Founder & CEO,https://www.linkedin.com/in/nandanupadhyay222,identity_full,"PROVEN_EQUIV(goodfirms_founded=2018); owned IP: ll product development, Design, and test; jd 71663ch; ~30 staff"
109,80,CodebergIT (Hiring & Tech Partner),codebergit.com,"Nagpur, India",goodfirms,10-49,30,EXISTED_2COR,goodfirms_founded=2017; rdap=2018-04-18; copyright_footer=2017,Verified,1,"ent, web design, and web-based applications. Our platform empowers you to select tailored ",8,0,0,0,69196,"trophy:before{content:""\f091""}.awsm-job-icon-github-square:before{content:""\f092""}.awsm-jo","agpur? Web Development Our comprehensive web development services include custom, dynamic,",8,,,,identity_pending,"EXISTED_2COR(goodfirms_founded=2017); owned IP: ent, web design, and web-based applicati; jd 69196ch; ~30 staff"
110,80,NavTark Solutions Pvt. Ltd.,navtark.com,"Indore, India",goodfirms,10-49,30,PROVEN_EQUIV,goodfirms_founded=2015; rdap=2019-01-03; wayback=20230602,Verified,1,Consulting and Development Want to convert your SaaS ideas into reality? Request Informati,8,0,1,0,68725,"rthday-cake:before { content: ""\f1fd""; } .fa-bitbucket:before { content: ""\f171""; } .fa-bi",Web/Mobile Apps | Software Development| Navtark Solutions Skip to content Home Serv,7,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2015); owned IP: Consulting and Development Want to conve; jd 68725ch; ~30 staff
111,80,GTCSYS,gtcsys.com,"Ahmedabad, India",goodfirms,10-49,30,PROVEN_EQUIV,goodfirms_founded=2012; rdap=2019-01-04; wayback=20230529,Verified,1,tbot Development Custom chatbots built into your product and data LLM Development Services,8,0,1,0,68725,"rthday-cake:before { content: ""\f1fd""; } .fa-bitbucket:before { content: ""\f171""; } .fa-bi","GTC: AI-Accelerated Product Engineering for SaaS, Marketplaces &amp; Enterprise Soft",7,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2012); owned IP: tbot Development Custom chatbots built i; jd 68725ch; ~30 staff
112,80,SilverSky Technology,silverskytechnology.com,"Ahmedabad, India",goodfirms,10-49,30,EXISTED_2COR,goodfirms_founded=2014; rdap=2015-01-06; wayback=20230923,Verified,1,"dern frameworks and agile methods, we build your product with meticulous quality assurance",8,0,0,0,67406,"trophy:before{content:""\f091""}.awsm-job-icon-github-square:before{content:""\f092""}.awsm-jo",,11,,,,identity_pending,"EXISTED_2COR(goodfirms_founded=2014); owned IP: dern frameworks and agile methods, we bu; jd 67406ch; ~30 staff"
113,80,inoday,inoday.com,"Noida, India",goodfirms,50-249,150,PROVEN_EQUIV,goodfirms_founded=2007; copyright_footer=2007; wayback=20230530,Verified,1,"ce platforms’,’Lower licensing overhead than proprietary platforms’,’Customizable to speci",0,0,0,0,67252,,es Development Web &#038; software build PHP Development Services Scalable web apps PHP De,19,,,,identity_pending,"PROVEN_EQUIV(goodfirms_founded=2007); owned IP: ce platforms’,’Lower licensing overhead ; jd 67252ch; ~150 staff"
114,80,Asiczen Technologies India Private Limited,asiczen.com,Bhubaneswar,nasscom,,,EXISTED_2COR,rdap=2014-06-21; copyright_footer=2014; nasscom_harvest=nasscom:PROVEN; rdap:2014-06-21,Verified,1,--> --> Customers and Partners delight with our products and Services in design integratio,8,0,0,0,65369,"\f090""}.fa-trophy:before{content:""\f091""}.fa-github-square:before{content:""\f092""}.fa-uplo",About Us Blog FAQs Offerings End-to-end IoT Product Development IoT Modules Product Engine,12,Rashmiranjan Mohapatra,Co-Founder and Chief Executive Officer,,identity_name_only,EXISTED_2COR(rdap=2014-06-21); owned IP: --> --> Customers and Partners delight w; jd 65369ch
115,80,Innovator web solution,innovatorwebsolutions.com,"Mumbai, India",goodfirms,10-49,30,PROVEN_EQUIV,goodfirms_founded=2010; rdap=2010-09-18; wayback=20230606,Verified,1,ser experiences. Explore Platform Innovation Proprietary Platforms & Automation Solutions ,8,0,0,0,64926,"trophy:before{content:""\f091""}.awsm-job-icon-github-square:before{content:""\f092""}.awsm-jo","Custom Software Development Company | AI, Travel Tech &amp;",16,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2010); owned IP: ser experiences. Explore Platform Innova; jd 64926ch; ~30 staff
116,80,Invezza Technologies,invezzatechnologies.com,"Pune, India",goodfirms,10-49,30,PROVEN_EQUIV,goodfirms_founded=2016; rdap=2016-03-15; wayback=20230605,Verified,1,"Product Engineering Build, test, and launch your product with tried and tested agile devel",8,0,0,0,63922,"trophy:before{content:""\f091""}.awsm-job-icon-github-square:before{content:""\f092""}.awsm-jo",Invezza | Product Engineering and Digital Modernization Services Skip to c,10,(verify),,,identity_name_only,"PROVEN_EQUIV(goodfirms_founded=2016); owned IP: Product Engineering Build, test, and lau; jd 63922ch; ~30 staff"
117,80,VcareAll Solution Pvt. Ltd.,vcareall.com,"Delhi, India",goodfirms,10-49,30,EXISTED_2COR,goodfirms_founded=2011; rdap=2010-08-09; copyright_footer=2011; wayback=20230527,Verified,1,edge solutions. Explore Our Services Explore Our Products We Drive Digital Transformation ,8,0,0,0,63444,"trophy:before{content:""\f091""}.awsm-job-icon-github-square:before{content:""\f092""}.awsm-jo",,16,,,,identity_pending,EXISTED_2COR(goodfirms_founded=2011); owned IP: edge solutions. Explore Our Services Exp; jd 63444ch; ~30 staff
118,80,Bynaric Systems Pvt. Ltd.,bynaric.in,"Pune, India",goodfirms,50-249,150,EXISTED_2COR,goodfirms_founded=2008; rdap=2019-08-21; copyright_footer=2023,Verified,1,ease the business of the sector. Go to About OUR PRODUCTS Delivering Smart Information Man,8,0,0,0,61160,"trophy:before{content:""\f091""}.awsm-job-icon-github-square:before{content:""\f092""}.awsm-jo",n One -Stop solution for a wide range of web development services and fully customized pro,7,(verify),,,identity_name_only,EXISTED_2COR(goodfirms_founded=2008); owned IP: ease the business of the sector. Go to A; jd 61160ch; ~150 staff
119,80,Arete Softwares,aretesoftwares.com,"Delhi, India",goodfirms,10-49,30,PROVEN_EQUIV,goodfirms_founded=2004; rdap=2010-02-03; wayback=20230530,Verified,1,lopment Software Testing Managed IT Services Our Products Human Resource Management System,8,0,0,0,60259,"trophy:before{content:""\f091""}.awsm-job-icon-github-square:before{content:""\f092""}.awsm-jo",rious technology powering cross-platform and custom software development. SEND REQUEST See,16,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2004); owned IP: lopment Software Testing Managed IT Serv; jd 60259ch; ~30 staff
120,80,Coactive Solutions,coactivesolutions.co.in,"Kolkata, India",goodfirms+nasscom,10-49,30,EXISTED_2COR,goodfirms_founded=2003; rdap=2015-09-05; nasscom_harvest=nasscom:PROVEN; rdap:2015-09-05; goodfir,Verified,1,about our company Services Meet our services Our Products Explore our products Ready to Ta,8,0,0,0,60072,"trophy:before{content:""\f091""}.awsm-job-icon-github-square:before{content:""\f092""}.awsm-jo",pany IoT Based Products Meet our specialists Custom Software What clients say about us Rea,11,Dilip Kumar Das,Director,,identity_name_only,EXISTED_2COR(goodfirms_founded=2003); owned IP: about our company Services Meet our serv; jd 60072ch; ~30 staff
121,80,Zebra Techies Solution,zebratechies.com,"Kolkata, India",goodfirms+nasscom,50-249,150,PROVEN_EQUIV,goodfirms_founded=2011; rdap=2010-01-07; copyright_footer=2016; wayback=20230531,Verified,1,"s, fixed technical SEO issues, and optimized our product pages with high-converting conten",0,0,0,0,58829,,rtising WEB DESIGN WEB DEVELOPMENT WordPress Development Services Responsive Web Developme,16,,,,identity_pending,"PROVEN_EQUIV(goodfirms_founded=2011); owned IP: s, fixed technical SEO issues, and optim; jd 58829ch; ~150 staff"
122,80,Qualifyde Technologies Private Limited,qualifyde.com,Hyderabad,nasscom,,,PROVEN_EQUIV,rdap=2015-10-03; wayback=20230601,Verified,1,"utive, you will be responsible for promoting our products and services to a diverse range ",8,0,0,0,57561,"trophy:before{content:""\f091""}.awsm-job-icon-github-square:before{content:""\f092""}.awsm-jo",ies and campaigns. · Provide feedback to the product development team based on customer in,11,,,,identity_pending,"PROVEN_EQUIV(rdap=2015-10-03); owned IP: utive, you will be responsible for promo; jd 57561ch"
123,80,Tech2Globe Web Solutions LLP,tech2globe.com,"Noida, India",goodfirms,50-249,150,PROVEN_EQUIV,goodfirms_founded=2014; rdap=2014-05-09; wayback=20230606,Verified,1,tent. It helped us highlight the features of our product very efficiently. Read On Trustpi,0,0,0,0,44719,,websites &amp; mobile apps with Tech2Globe. Software Development E-Commerce Development En,12,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2014); owned IP: tent. It helped us highlight the feature; jd 44719ch; ~150 staff
124,80,Opcito Technologies Private Limited,opcito.com,Pune,nasscom,,,PROVEN_EQUIV,rdap=2015-07-14; nasscom_harvest=nasscom:Wayback 2023-06 advertised DevOp; wayback=20230605,Verified,1,ull-Stack Engineering Skip to main content X Our Accelerators Accelerated Innovation Conti,0,0,7,0,44674,"Careers: 'QA Automation' and 'Cloud DevOps & SRE' practices | Site: 'Cloud, Containerizati","f accelerators and tools that accelerate the Software Development Life Cycle (SDLC), Softw",11,Neha Jawale,CEO and Managing Director (MD),,identity_name_only,PROVEN_EQUIV(rdap=2015-07-14); owned IP: ull-Stack Engineering Skip to main conte; jd 44674ch
125,80,DEBOX GLOBAL,deboxglobal.com,"Noida, India",goodfirms,10-49,30,PROVEN_EQUIV,rdap=2017-08-01; wayback=20230601,Verified,1,your Contact No : Submit --> --> --> Enter your product : --> Enter your Product Category ,1,0,0,0,43474,on & Reminders Multiple Quotation Type - FIT/GIT Supplier Communication Multiple Reports M,"Currently, TRAVCRM, a top provider of travel software development, offers the best Best Tr",9,,,,identity_pending,PROVEN_EQUIV(rdap=2017-08-01); owned IP: your Contact No : Submit --> --> --> Ent; jd 43474ch; ~30 staff
126,80,Oasys Cybernetics Private Limited,oasys.co,Chennai,nasscom,,,PROVEN_EQUIV,nasscom_harvest=nasscom:UNKNOWN - no Wayback snapshot an; wayback=20230512,Verified,1,aste Policy Our Clients Serving 100+ clients Our Products PDS Solutions PoS Devices Fertil,0,4,0,0,42193,"ware development best practices: unit tests, code reviews, continuous integration, deploym",19 based on Maha Kumbh Mela at Bihar --> IoT product Development Delivering efficient and ,0,,,,identity_pending,PROVEN_EQUIV(nasscom_harvest=nasscom:UNKNOWN - no Wayback snapshot an); owned IP: aste Policy Our Clients Serving 100+ cli; review-gate JD x4; jd 42193ch
127,80,Salasar Cyber Solutions,salasarcybersolutions.com,"Indore, India",goodfirms,50-249,150,PROVEN_EQUIV,goodfirms_founded=2016; rdap=2016-02-19; wayback=20230202,Verified,1,"e crowd. Therefore, let Salasar personalize your product to ensure it is second to none, a",0,0,0,0,40389,,Salasar Cyber Solutions leading Software Development Company --> --> Toggle navigation Con,10,,,,identity_pending,"PROVEN_EQUIV(goodfirms_founded=2016); owned IP: e crowd. Therefore, let Salasar personal; jd 40389ch; ~150 staff"
128,80,Comval IT Solutions PVT Ltd,comvalitsolutions.com,"Kolkata, India",goodfirms,50-249,150,PROVEN_EQUIV,rdap=2020-02-07; wayback=20231211,Verified,1,"hen Customers Search When people search for your product or service on Google, they are al",0,0,2,0,37712,,nt Ecommerce Development CMS Development Web Application Development AWS Development API I,6,,,,identity_pending,PROVEN_EQUIV(rdap=2020-02-07); owned IP: hen Customers Search When people search ; jd 37712ch; ~150 staff
129,80,LogiQuad Solutions Private Limited,logiquad.com,Pune,nasscom,,,PROVEN_EQUIV,nasscom_harvest=nasscom:Wayback 2023-06 advertised cloud; wayback=20230403,Verified,1,026 By: Ritika Dhiman React vs. Next.js for Your SaaS Frontend &mdash; What We Recommend a,0,1,0,0,32273,JD: 'using Git for version control and code reviews' | Blog: 'Setting up a CI/CD Pipeline',AI SaaS Development Company | SaaS Development Services - LogiQuad Home About Us Products ,0,Mitesh Sharma,Founder & CEO,https://linkedin.com/in/mitshar,identity_full,PROVEN_EQUIV(nasscom_harvest=nasscom:Wayback 2023-06 advertised cloud); owned IP: 026 By: Ritika Dhiman React vs. Next.js ; review-gate JD x1; jd 32273ch
130,80,Nectarbits Pvt. Ltd.,nectarbits.com,"Ahmedabad, India",goodfirms,50-249,150,PROVEN_EQUIV,goodfirms_founded=2009; rdap=2012-03-06; wayback=20230604,Verified,1,"ble business growth. MVP Development Launch your product faster with a lean, high-quality ",0,0,0,0,32201,,Software Development & App Development Company | Nectarbits Servi,14,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2009); owned IP: ble business growth. MVP Development Lau; jd 32201ch; ~150 staff
131,80,Intellinet Systems Pvt Ltd,intellinetsystem.com,Gurugram,nasscom,,,EXISTED_2COR,rdap=2002-07-17; wayback=20230605,Verified,1,liable and smooth operations Schedule A Call our products What We Offer Serving global OEM,10,0,0,0,30299,rity with software development practices and version control systems. Excellent problem-so,,24,,,,identity_pending,EXISTED_2COR(rdap=2002-07-17); owned IP: liable and smooth operations Schedule A ; jd 30299ch
132,80,Softqube Technologies Pvt. Ltd.,softqubes.com,"Ahmedabad, India",goodfirms,50-249,150,PROVEN_EQUIV,goodfirms_founded=2009; rdap=2013-07-15; copyright_footer=2009; wayback=20230603,Verified,1,"promote their own products & services thru your platform. As an admin, you will build your",11,0,0,6,29825,oth Experience with Android SDK Knowledge of Git Backend Programming Skills Working knowle,any location with mobile-first technologies. Application Development Integration Roadmap &,13,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2009); owned IP: promote their own products & services th; jd 29825ch; ~150 staff
133,80,Revolux Solutions,revoluxsolutions.com,"Mumbai, India",goodfirms,10-49,30,PROVEN_EQUIV,goodfirms_founded=2016; rdap=2016-01-07; copyright_footer=2017; wayback=20230607,Verified,1,"on and Design to Seamless Creation, We Fuel Your Product's Journey Towards Success Read Mo",1,0,0,0,27396,"erstanding of code versioning tools, such as Git &#8211; Good Understanding of AWS Service",tent Services Mobile App Development Android Application Development iOS App Development W,10,,,,identity_pending,"PROVEN_EQUIV(goodfirms_founded=2016); owned IP: on and Design to Seamless Creation, We F; jd 27396ch; ~30 staff"
134,80,TechGlock Software Solutions,techglock.com,"Mohali, India",goodfirms,10-49,30,PROVEN_EQUIV,rdap=2021-01-14; wayback=20230601,Verified,1,"ines, and infrastructure-as-code that keeps your platform reliable 24/7. AWS &amp; GCP Kub",1,0,4,0,26265,"al health days. Latest Tools MacBook, Figma, GitHub Copilot, and every tool you need to do",Custom Software Development Company | Techglock sales@techgl,5,,,,identity_pending,"PROVEN_EQUIV(rdap=2021-01-14); owned IP: ines, and infrastructure-as-code that ke; jd 26265ch; ~30 staff"
135,80,Orion eSolutions Pvt. Ltd.,orionesolutions.com,"Mohali, India",goodfirms+nasscom,50-249,150,PROVEN_EQUIV,goodfirms_founded=2012; rdap=2009-01-29; nasscom_harvest=nasscom:EXISTED_NO_SW_WORDING: 2023 arch; wayback=20230526,Verified,1,nnovation and client achievement. Let’s Talk Our Flagship AI Voice Solution Boost Your Bus,0,0,0,0,25265,"jd 49657 chars: real QA Tester ad, no repo host or review gate | site_quotes qa: 'Dedicate",ources E-Commerce On-Demand Application Best Software Development Tools Services Artificia,17,Amit Dogra,Co-Founder & CEO,,identity_name_only,PROVEN_EQUIV(goodfirms_founded=2012); owned IP: nnovation and client achievement. Let’s ; jd 25265ch; ~150 staff
136,80,Ascure Technology,ascuretech.com,"Jaipur, India",goodfirms,10-49,30,PROVEN_EQUIV,goodfirms_founded=2019; rdap=2020-02-23; wayback=20230601,Verified,1,"es From AscureTech. Give Us A Buzz, And Get Your Product Built With The Right Technology S",1,0,1,0,24328,and Devops . AWS . Jenkins . Google Cloud . Bitbucket . Azure Best Development Services Fo,Top E-Commerce Development Company | Magento Development Services | Ascure Technologies Im,6,,,,identity_pending,"PROVEN_EQUIV(goodfirms_founded=2019); owned IP: es From AscureTech. Give Us A Buzz, And ; jd 24328ch; ~30 staff"
137,80,BlueEra Softech,blueerasoftech.com,"Vadodara, India",goodfirms,10-49,30,PROVEN_EQUIV,goodfirms_founded=2018; rdap=2018-01-15; wayback=20230529,Verified,1,"e, rollbacks, and rapid scaling. This keeps your product stable while allowing for continu",0,0,5,0,23283,,al-time health data and patient interaction. Custom Software Development Web Application D,8,,,,identity_pending,"PROVEN_EQUIV(goodfirms_founded=2018); owned IP: e, rollbacks, and rapid scaling. This ke; jd 23283ch; ~30 staff"
138,80,DreamSoft4u Private Limited,dreamsoft4u.com,"Jaipur, India",goodfirms,50-249,150,PROVEN_EQUIV,goodfirms_founded=2003; wayback=20230601,Verified,1,Awards &amp; Recognition Insights Portfolio Our Product Health Tech Blog Contact Us Insigh,0,0,0,0,22914,,Healthcare Software Development Company | DreamSoft4u --> ---> --> (+91) 969,23,(verify),,,identity_name_only,PROVEN_EQUIV(goodfirms_founded=2003); owned IP: Awards &amp; Recognition Insights Portfo; jd 22914ch; ~150 staff
139,80,WhiteStone Infotech,whitestoneinfotech.com,"Surat, India",goodfirms,10-49,30,PROVEN_EQUIV,goodfirms_founded=2021; rdap=2023-04-19; wayback=20230724,Verified,1,OmniERP TrackVid Innovation-Driven Solutions Our Product Suite View All Portfolio Portfoli,3,0,5,0,21772,cker Kubernetes Terraform Jenkins Prometheus GitHub Actions UI/UX Design 4 UI/UX Design Fi,nd Forecasting Dynamic Pricing 03 Service 03 Custom Software &amp; ERP End-to-end business,3,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2021); owned IP: OmniERP TrackVid Innovation-Driven Solut; jd 21772ch; ~30 staff
140,80,Max Mobility,maxmobility.in,"Kolkata, India",goodfirms,50-249,150,PROVEN_EQUIV,goodfirms_founded=2004; rdap=2006-07-06; wayback=20230607,Verified,1,"tecture, your customers can also experience your product virtually. Available on Google Ca",0,0,0,0,21415,,"olutions delivered, MaxMobility’s Mobile App Development Services empower businesses by cr",20,,,,identity_pending,"PROVEN_EQUIV(goodfirms_founded=2004); owned IP: tecture, your customers can also experie; jd 21415ch; ~150 staff"
141,80,Xtag Services Pvt Ltd,xtagservices.com,"Nagpur, India",goodfirms,10-49,30,EXISTED_2COR,rdap=2021-03-19; wayback=20230330,Verified,1,"Tag&#8217;s customized Salesforce solutions, our platform now perfectly matches our busine",2,0,3,0,20972,in Azure DevOps (Classic &amp; YAML). Manage GIT version control and branching strategies ,,5,,,,identity_pending,EXISTED_2COR(rdap=2021-03-19); owned IP: Tag&#8217;s customized Salesforce soluti; jd 20972ch; ~30 staff
142,80,Rebin Infotech,rebininfotech.com,"Kolkata, India",goodfirms,10-49,30,PROVEN_EQUIV,goodfirms_founded=2015; wayback=20230605,Verified,1,tive Developer Hire Digital Marketing Expert Our Products Help Sales Asset Mantra My Ident,1,0,0,0,20242,"erstanding of code versioning tools, such as Git Understanding of front-end build tools li",droid Mobile Apps Design Presentation Design Development Services Menu Website Design and ,11,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2015); owned IP: tive Developer Hire Digital Marketing Ex; jd 20242ch; ~30 staff
143,80,W3villa Technologies,w3villa.com,"Noida, India",goodfirms,50-249,150,PROVEN_EQUIV,goodfirms_founded=2014; rdap=2010-11-16; copyright_footer=2014; wayback=20230603,Verified,1,"do whatever they can to make you feel like your product is their product, you know working",0,0,0,0,20030,,Software Development Company | IT Development Service | W3villa T,16,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2014); owned IP: do whatever they can to make you feel li; jd 20030ch; ~150 staff
144,80,AI Software LLC,aisoftwarellc.com,"Ahmedabad, India",goodfirms,10-49,30,PROVEN_EQUIV,goodfirms_founded=2009; wayback=20230705,Verified,0,,1,1,2,0,19964,"iew code, follow best practices, and provide code review comments. Ability to analyze perf","Custom Software Development, IT Staff Augmentation Company T",17,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2009); review-gate JD x1; jd 19964ch; ~30 staff
145,80,DesIDEA Software Technologies Pvt ltd,desidea.com,"Hyderabad, India",goodfirms,50-249,150,PROVEN_EQUIV,goodfirms_founded=2005; rdap=2005-05-02; wayback=20230603,Verified,0,,3,1,7,2,19688,liver high-quality solutions. Participate in code reviews and ensure adherence to developm,d Support Cloud Migration and DevOps Support Application Development & Approach SAP Custom,21,(verify),,,identity_name_only,PROVEN_EQUIV(goodfirms_founded=2005); review-gate JD x1; jd 19688ch; ~150 staff
146,80,iPrism Technologies,iprismtech.com,"Hyderabad, India",goodfirms,50-249,150,PROVEN_EQUIV,goodfirms_founded=2014; copyright_footer=2019; wayback=20230602,Verified,0,,7,1,1,1,19566,"ibrary, or similar frameworks Participate in code reviews to ensure high-quality standards",t Web Development Web Design Web Development Software Development Digital Marketing Search,12,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2014); review-gate JD x1; jd 19566ch; ~150 staff
147,80,"SharpQuest, Inc.",sharpquest.com,"Ahmedabad, India",goodfirms,10-49,30,PROVEN_EQUIV,goodfirms_founded=2009; rdap=2005-04-02; wayback=20230422,Verified,0,,1,1,2,0,18982,"iew code, follow best practices, and provide code review comments. Ability to analyze perf","Software Development Company in Michigan, US, Canada | SharpQuest",21,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2009); review-gate JD x1; jd 18982ch; ~30 staff
