name,website,description,relevance_status,lead_score,qualification_reason
Teton Private Ltd.,http://tetonelectronics.com/,"TETON Private Limited is the best tech company in Bangladesh. Address: 15/2,15/3, Tropical Molla Tower 5th floor 15/1, 15/4 Bir Uttam Rafiqul Islam Ave, Dhaka 1212, Phone: 01973102030. It is an ITES company along with some other working verticals such as software development, IoT, Big Data, Mechanical and Embedded System Design, and development, etc. The ...",RELEVANT,8,"Builds AI/ML, web, app and game software plus its own SaaS products, and even does silicon/SoC design, firmware and IoT hardware engineering."
Intellier Limited,https://intellier.com/,"Intellier Limited – the startup IT Services Company in Bangladesh is delivering world-class IT solutions to the domestic market, founded in 2017. Intellier is committed and capable of undertaking innovative projects while creating an impact by providing solutions for complex business challenges. Intellier is managed by a group of young professionals with a wide range ...",RELEVANT,8,"Enterprise software company with ERP (IntelliERP, Odoo), POS, CRM, HRMS, smart-factory and ESG products plus web/app development, QA and BI services."
Bit Byte Technology Ltd,https://bitbytetechnology.com/,"We, at Bit Byte Technology Ltd., convey an individual, enthusiastic & custom-made service to each and each one of our clients, based in Australia or abroad. Since our inception dated back in 2018, we have been making a difference with companies with plans, web improvement, computer program advancement, computerized promoting, and specialized back services. We ...",RELEVANT,8,"Engineers custom software, mobile apps, e-commerce and SaaS products with full frontend/backend, cloud infra & DevOps, architecture and API integration."
Softsasi,https://www.softsasi.com/,"Softsasi: Your Ally in Innovative Development Game Design Elevate your gaming concept to new dimensions with the unmatched capabilities of Unreal Engine 5. Our dedicated and talented team excels in crafting hyper-realistic graphics and immersive gameplay mechanics that enthrall players and enhance the gaming journey. Whether your vision includes an expansive open-world quest, a high-octane ...",RELEVANT,8,"Offshore software company building web, mobile, game (Unreal Engine 5), AI and enterprise/ERP software with cybersecurity and QA."
AlgoSoft Technologies Limited,https://algosoftltd.com/,"AlgoSoft Technologies Limited is a software development and AI solutions company with a strong engineering team based in Dhaka, Bangladesh. We specialize in building scalable, high-impact digital products that empower startups, enterprises, and fast-growing organizations to move faster and operate more efficiently. Our mission is to solve complex business problems through simple and elegant technology. ...",RELEVANT,8,"Software development and AI solutions company with a strong engineering team doing custom software, blockchain, cloud, ERP, cybersecurity and mobile development."
Legitforce,https://legitforce.dev/,"LegitForce is a custom software engineering company specialising in high-performance web applications, SaaS platforms and e-commerce solutions built from the ground up for businesses that refuse to be average. Founded in 2019 and serving businesses worldwide, we partner with startups, SMEs, and growth-stage businesses to engineer digital products that are fast, scalable, and built to ...",RELEVANT,8,"Custom software engineering company building high-performance web apps, SaaS platforms, automation systems and API integrations with a 99.9% uptime SLA."
CodeFortify,https://codefortify.cloud/,"CodeFortify is a software engineering and cybersecurity company focused on building secure, scalable, and high-performance digital systems for startups, enterprises, and organizations.We specialize in backend engineering, SaaS platform development, DevOps automation, cloud infrastructure, cybersecurity solutions, and AI-powered workflow systems.Our team works with modern technologies including Django, Django REST Framework, React.js, Next.js, Docker, PostgreSQL, Redis, Linux, ...",RELEVANT,8,"Software engineering and cybersecurity company building secure web applications, APIs, SaaS platforms and automation tools with security-first practices."
Build Your Vision,https://byvbd.com/,BYV is a cutting-edge software technology firm specializing in AI infrastructure and advanced RAG (Retrieval-Augmented Generation) solutions. we bridge the gap between traditional software and next-gen intelligence by developing high-performance web/mobile applications and seamlessly integrating custom AI models into existing enterprise systems.,RELEVANT,8,"Software firm specializing in AI infrastructure and RAG solutions, building web apps, AI agents, automation and the integration work that connects them."
Acme AI Ltd.,https://www.acmeai.tech/,"Acme AI is a full-service AI and technology company specializing in custom AI solutions, LLM applications, geospatial intelligence, data engineering, software development, and high-quality data services and helps to build teams of expert resources for frontier technology endeavors. We help startups, enterprises, NGOs, and research organizations transform complex data into scalable, real-world solutions.",RELEVANT,8,"AI/technology company doing custom AI/LLM solution development, computer vision, speech recognition, data engineering and annotation for global AI firms."
Wixford,https://www.wixford.com/,"At Wixford, we build AI-driven software that turns bold ideas into real business growth.We partner with startups, scale-ups, and enterprises to deliver:- Custom Software Development- Web & Mobile Apps- UI/UX Design- AI & Data AnalyticsWe focus on business outcomes not just code. From MVP to full scale, our modular approach grows with you.- Let's build ...",RELEVANT,8,"AI-driven custom software firm building scalable web platforms (Next.js/React/Node, REST/GraphQL) and enterprise mobile apps with UI/UX and digital transformation."
Beatnik Technology Limited,https://beatniktechnology.com/,"Beatnik Technology is a global software development company helping startups, digital agencies, SMEs, and enterprises build scalable, secure, and future-ready digital solutions. We specialise in custom software development, mobile applications, AI-powered business automation, enterprise platforms, digital transformation, Team Augmentation, and white-label technology partnerships.With more than a decade of industry experience, we have successfully delivered high-quality ...",RELEVANT,8,"B2B software development company providing custom software, white-label delivery and dedicated engineering teams for SaaS companies and enterprises."
Dhrubok Infotech Services Ltd.,https://dhrubokinfotech.com/,"Dhrubok Infotech Services Ltd. is a custom software design and development company that delivers up-to-the-minute iOS, Android Apps and web solutions. We focus on understanding our client needs and then finding the best possible solution. We take full responsibility for developing the software while enabling them to focus entirely on the business growth.",RELEVANT,8,"Custom software design and development company building native iOS/Android apps, web applications and scalable enterprise software solutions."
Softifybd Limited,https://www.softifybd.com/,"SoftifyBD Limited began its journey as a start-up software company in Narayanganj, Bangladesh, in 2017. Recognizing the critical role of IT in empowering various industries, we set out to streamline and automate different operational areas through digital solutions.",RELEVANT,8,"SaaS software company shipping industry-specific products (ISP ERP, network monitoring, business ERP, education, CRM, OTA, fleet/GPS) since 2017."
Tirzok Private Limited,https://tirzok.com/,"Tirzok Private Limited, established in 2018, is a Bangladesh-based technology solutions provider specializing in cloud services, software development, and big data solutions. The company offers enterprise-focused IT services, including private cloud solutions, data management, and automation systems. Their mission is to help organizations enhance efficiency, scalability, and innovation through cutting-edge technology. Tirzok partners with global ...",RELEVANT,8,"Technology firm doing software development, DevOps, ERP, big data and private/public cloud with its own products (SIGTRAN, Private Cloud, eDocFlow)."
SOFTEKO,https://www.softeko.co/,"SOFTEKO strives to transform visionary ideas into cutting-edge software solutions through innovation and passion. Our expertise spans Software Testing and QA, Team Augmentation, Application Development, Enterprise Solutions, AI and Machine Learning, UX/UI Design, Data Analytics & BI, Blockchain Development, and Big Data Analytics. What sets us apart is our commitment to excellence and a unique ...",RELEVANT,8,"ERP consulting (Odoo), staff augmentation and AI/ML firm hiring frontend/backend/mobile/DevOps/data engineers across modern stacks (Next.js, Java, Python, Flutter)."
Wooxperto LLC,https://www.wooxperto.com/,"At WooXperto LLC, we are more than just a Web Development Company / Woocommerce Development Agency – we are your partners in digital transformation. Specializing in WordPress and WooCommerce, we bring a wealth of experience and expertise to the table, ensuring your online presence stands out in today’s competitive digital landscape.",IRRELEVANT,3,"Unreachable site; blurb describes a WordPress/WooCommerce web development agency, which the rubric treats as generic."
Artixcore,https://artixcore.com/,"The AI-powered SaaS platform reimagining productivity. We eliminate tool overload by unifying CRM, Projects, Messaging, Time Tracking, Analytics, CMS, Wallets, and AI Builders into one seamless business OS. Built for freelancers, remote teams, agencies, and startups, Artixcore is designed to scale with modern work. Our tech reflects our commitment to performance and scalability.",RELEVANT,8,"Founder-led engineering firm building AI-powered SaaS platforms, AI automation, ecommerce systems, cybersecurity and Web3 products from idea to launch."
Fronture Technologies Limited,https://fronturetech.com/,"Fronture Technologies is a global software outsourcing company headquartered in Dhaka, Bangladesh. Since 2009, we've helped businesses become Future Ready and Human Focused through reliable offshore development and modern IT services. We serve clients in the USA, Ireland, and Japan, delivering 150+ successful projects over 15+ years with a team of 50+ engineers. Our core ...",RELEVANT,8,"Global software outsourcing company (since 2009) doing agile software development, DevOps, cloud and AI/ML with UX and QA services."
Noor Hikmah Ltd.,https://noorhikmah.com/,"Noor Hikmah Ltd. is specialized in Software Development, Data Science, AI, Cybersecurity, IT & Research. Our flagship AI solutions are delivered by our dedicated brand Digitvisit ( www.digitvisit.com ) focused on innovation & market demand. Through our strategic IT partner Tirzok ( www.tirzok.com ) we are delivering seamless service to the valued customers.",RELEVANT,8,"Builds AI-powered software, agentic AI, governable data pipelines and enterprise IT infrastructure with data science and cybersecurity focus."
Primacy Infotech Ltd,https://primacyinfotechltd.com/,"Primacy Infotech Limited is a dynamic software development and IT staff augmentation company renowned for delivering end-to-end digital solutions tailored to modern business needs. Since its inception in 2015, the company has expanded across multiple geographies, providing services to enterprises, SMEs, and startups worldwide. Core Capabilities & Services Primacy Infotech offers a wide-ranging suite of ...",RELEVANT,8,"Software development and IT staff augmentation firm building custom software, web/mobile apps and ERP products (Education ERP, HMS, HRM) with cloud consulting."
Syftet Limited,https://syftet.com/,"Syftet Limited is a software development and digital solutions company based in Dhaka, Bangladesh. Founded in 2016, the company provides custom software, web and mobile application development, UI/UX design, and ongoing support services. Syftet Limited works with modern technologies and follows an agile development approach to deliver reliable, scalable, and client-focused solutions for businesses both ...",RELEVANT,8,"Custom software developer building desktop/web/mobile apps, business automation, AI/ML/DL and IoT with QA for real fintech, government and EdTech clients."
AgamiSoft Ltd.,https://www.agamisoft.com/,"AgamiSoft Ltd. is a Bangladesh-based IT services and software engineering company specializing in scalable digital solutions. We help startups and enterprises build, scale, and optimize software systems through custom development, cloud engineering, AI-driven automation, and digital transformation. With a team of 120+ certified engineers, we deliver enterprise-grade solutions focused on performance, security, and long-term scalability.",RELEVANT,8,"ISO-9001 software engineering company (8+ years, UNICEF and 50+ global clients) building scalable custom software, AI solutions and intelligent cloud systems."
Automata Lab,https://www.automatalab.dev/,"Automata Lab designs, builds, and manages agentic AI workflows and AI agents for enterprise and mid-market organizations. A remote-first automation partner, the company helps teams move from manual, repetitive operations to autonomous, data-driven workflows that run reliably at scale — turning abstract ideas into reality.The company's work spans three connected pillars: AI agent automation and ...",RELEVANT,8,"Builds and operates production-grade agentic AI workflows and AI agents for enterprise/mid-market, specializing in reliability, governance and continuous improvement."
Dcastalia Limited,https://dcastalia.com/,"Dcastalia Limited is one of the leading and reliable software firms based in Dhaka, Bangladesh; renowned for its unwavering commitment to delivering seamless solutions since 2009. With over 14 years of excellence in service, we served over 13 countries, completed over 1350 projects, and earned the trust of 1100+ clients worldwide. With a focus on ...",RELEVANT,8,"Software development company (since 2009) building custom software, ecommerce and mobile apps with DevOps solutions and UX/UI design."
ReformedTech,https://reformedtech.org/,"Offshore software development in Bangladesh is synonymous with cost-effectiveness and high quality. The country’s IT sector is known for its competitive rates without compromising on the quality of deliverables. Bangladeshi software development firms are adept at handling complex projects, offering services ranging from web development and software maintenance to cloud computing and AI solutions.",RELEVANT,8,"Software, AI and MVP development firm (since 2017) offering dedicated engineering teams and end-to-end product delivery on React/SvelteKit/Python/OpenAI stacks."
Kolpolok Limited,https://kolpolok.com/,"Kolpolok Limited is a Bangladesh based software and mobile app development company. Though it works with various industries like healthcare, NGOs, Cybersecurity, etc, Kolpolok is specialized in VPN app development. Kolpolok Limited was founded in 2014 by Mr. S M Nazmul Hasan. Popular VPNs like Symlex VPN, Noon VPN, Start VPN, Redcard VPN, etc were ...",RELEVANT,8,"Software and mobile app company (since 2015) with niche products (Symlex VPN, telematics/fleet, eSIM, CourseL) and AI-powered solutions built to scale."
Inovetix,https://inovetix.com/,"The dedicated team of innovators at Inovetix harness cutting-edge technologies to craft software solutions that go beyond mere robustness; it's genuinely innovative. From transforming industries with tailored software solutions to driving efficiency in every corner of the digital realm, our expertise empowers teams worldwide to shape the future through code. Inovetix offers extensive software services, ...",RELEVANT,8,"AI product studio building AI agents, process automation/RPA and mobile/web software for startups with a focus on reliability and scalability."
Core Devs Limited,https://coredevsltd.com/,"We are a passionate group of individuals who find joy in dreaming and coding. Technology, to us, is akin to magic—a realm where computers serve as our enchanting wands and the programs we craft act as spells.When the perfect combination is achieved, a burst of magic unfolds. Endless optimism permeates our beliefs, pushing us to ...",RELEVANT,8,"Web3/blockchain and SaaS engineering firm building dApps, smart contracts, trading automation, CRM and AI bots (Clutch-rated 4.7)."
Mediusware Ltd,https://mediusware.com/,"Mediusware Limited Your Trusted B2B IT Partner for Scalable Growth & Intelligent Innovation Since 2015, Mediusware Limited has delivered over 850 successful projects across 20+ countries, helping more than 1,000 businesses grow through custom-built digital solutions. Backed by 120+ skilled engineers, designers, and data scientists, we serve as an extension of your in-house teamboosting velocity, ...",RELEVANT,8,"B2B IT/outstaffing partner (since 2015, 850+ projects) delivering SaaS, MVP and AI-driven software with a large developer bench."
Mondaysys,https://mondaysys.com/,"Mondaysys: Where Brilliant Ideas Meet Unstoppable Digital Magic Welcome to Mondaysys, where we turn your wildest digital dreams into reality! Based in the vibrant heart of Bangladesh, we’re a software development agency with a passion for creativity, innovation, and, let’s face it, a little bit of magic. Our team of tech-savvy wizards is here to ...",RELEVANT,8,"18-year firm building CRO/A-B test tooling, Shopify builds, AI/ML apps and custom software with senior engineers, enterprise-grade security and strict QA."
Softograph Limited,https://softograph.com/,"Softograph specializes in advisory services, software solutions, and data analytics, enabling organizations globally. Through innovation, intelligence, and efficiency, Softograph drives transformative success in the digital era. The team, a distinguished blend of engineers and management experts, unites deep business insight with advanced technical proficiency. This unique combination addresses clients' challenges from multiple angles, creating tailored ...",RELEVANT,8,"Software, AI and deep-analytics company with its own products (Inspecto, Detectron, TradeEye) and partnerships including Oxford University."
Oblivion Solutions Limited,https://oblivionsolutions.net/,"Oblivion Solutions Limited (OSL) is a consulting and solution provider company, proudly holding ISO 9001, ISO 20000:1 and ISO 27001 certifications and focused on solving business and technology challenges to meet your organization’s goals. As our business and the industry get matured, we continue to focus on solutions-oriented approach, delivering leading edge technology that is ...",RELEVANT,8,"ISO 9001/20000/27001-certified firm delivering application development, cloud infrastructure, e-governance, enterprise solutions and QA/testing."
QoderLabs,https://qoderlabs.com/,"QoderLabs is a modern software company based in Mohakhali DOHS, Dhaka, specializing in website development, eCommerce solutions, and mobile app development. We help startups and businesses build high-quality, scalable digital products including custom websites, Shopify and WordPress stores, and cross-platform mobile apps. Our team also provides UI/UX design, automation solutions, and ongoing technical support to ...",RELEVANT,8,"Modern software company building web apps, AI tools and mobile products with clean architecture, automated testing, CI/CD pipelines and LLM integration."
Valorwide Limited,https://valorwide.com/,"Valorwide is an innovative software development company. It is a creative mobile app and web development company that delivers Web development services of any complexity to clients worldwide. Valorwide is a global leader in next-generation digital services. We design and develop custom software solutions, web applications, mobile applications (iOS and Android), Blockchain Development, UI UX ...",RELEVANT,8,"Software development company (10+ years) doing custom software, web/mobile apps, ML & AI, cloud, blockchain and software testing across fintech, healthcare and telco."
THESOFTKING LIMITED,https://thesoftking.com/,Creating fusion of visual design and technology to make awesome products that feel great on every desktop and mobile device also perform efficiently with minimum resource utilization and maximum performance.,RELEVANT,8,"Software firm doing web, mobile, SaaS and ecommerce development with its own fintech/banking/remittance/NFT SaaS products and cybersecurity services."
Dhaka Solution,http://www.dhakasolution.com/,"We provide premium services as a to z IT service providers and web and software solution provider. Our core capabilities are PHP, SQL, JavaScript,PHP MySQL ASP.Net and web services and marketig solution as well. We assure task completion on time, we deliver budget and bug free products and services.",IRRELEVANT,4,Web design (WordPress/Magento/OpenCart) plus off-the-shelf management software and heavy SEO/SMS/digital marketing — a general web-and-marketing shop.
ZAAG SYSTEMS,https://zaagsys.com/,"ZAAG SYSTEMS is a trusted software development company specializing in custom software development, mobile app development, and eCommerce solutions tailored for small and medium-sized enterprises (SMEs), Startups and Entrepreneur​s. We provide cost-effective and scalable digital solutions that empower SMEs, Startups and Entrepreneur​s to compete in ...",RELEVANT,7,"Self-described AI product-engineering lab specializing in custom software, mobile app and eCommerce development for SMEs."
Door Soft Ltd.,https://doorsoft.co/,"Door Soft is a software development company based in Bangladesh. We mainly develop custom software, web applications, mobile and desktop applications with any kind of features. Our main target is to provide a solution to people where other companies are not working. We have different ...",RELEVANT,7,"Custom software company developing web, mobile and desktop applications (thin homepage, judged largely on directory description)."
Mediasoft Data Systems Limited,https://mediasoftbd.com/,"Incepted in 1998, Mediasoft Data Systems Limited is the largest retail software & solution provider company in Bangladesh. We offer a comprehensive and integrated business software suite with POS, VAT, Accounting, HR, ERP, Web Development, E-commerce, Hospital Information Management System, Mobile Application, etc. which is ...",RELEVANT,7,"Established enterprise software vendor building retail/pharmacy POS, VAT and ERP business software suites since 1998."
DataPollex,https://www.datapollex.com/,"DataPollex is an IT services, consulting, and business automation & solutions company that has been partnering with many of the world’s largest businesses in their transformation journey, enabling them to move confidently through changing markets and technology cycles. Our consulting-led, innovation-driven services help businesses evolve ...",RELEVANT,7,IT services and business-automation company doing custom mobile app and blockchain development across multiple regions.
Nexis Limited,https://nexisltd.com/,Nexis Limited We are an emerging IT company from Bangladesh. We started our journey on 2020. We are serving small businesses to corporate clients all over the world. We ensure our quality of services.,IRRELEVANT,3,Unreachable site and a vague 'emerging IT company' blurb with no concrete custom-engineering evidence.
Beyond Bracket Limited,https://beyondbracket.com/,"Beyond Bracket Ltd. is a Web 3.0 or Metaverse focused web applications development, web design and Digital Marketing service provider company. We prioritize the look and feel of the product over other things to differentiate us from our competitors. Therefore, we inspire our developers to create beautiful web applications which provides best user experience. We ...",IRRELEVANT,4,"Offering is dominated by video editing, graphic design, digital marketing, BPO and Amazon services; custom dev is one line among many."
Bright Future Soft,https://www.brightfuturesoft.com/,"Bright Future Soft is a Bangladesh based software development company specializing in custom web applications, enterprise software, AI powered solutions, ERP systems, Learning Management Systems, SaaS platforms, and mobile applications. We help startups, SMEs, and enterprises transform their ideas into secure, scalable, and high performance ...",RELEVANT,7,"Custom software company covering enterprise software, AI solutions, ERP, LMS, SaaS and mobile apps (thin homepage, judged on description)."
CodersBucket,https://codersbucket.com/,"CodersBucket is a dynamic software development company specializing in SaaS development, AI automation, and custom software solutions. We help businesses innovate and scale through intelligent technology implementations.Our core services include AI-based development, automated workflow solutions, IT staff augmentation, and expert live coding. We also deliver ...",RELEVANT,7,"Builds AI-powered apps, custom software, MVP/SaaS and offers offshore dev teams and DevOps, alongside some Shopify/WordPress work."
w3asolution,https://w3asolution.com/,"About W3ASolution: Innovating for Success At W3ASolution, we’re dedicated to providing exceptional web design and development solutions that help businesses thrive in today’s digital landscape. Based in Bangladesh, our team specializes in PHP and Laravel, offering a full suite of services tailored to meet the unique needs of our clients. From scalable eCommerce platforms to ...",IRRELEVANT,4,Thin site branded 'Complete IT Solution'; blurb centers on web design and development rather than custom software engineering.
Web Xpress,https://webxpress.com.bd/,"Web Xpress Bangladesh is a Dhaka-based IT solutions provider specialising in custom software development, web and mobile application development, and digital marketing services. With over a decade of experience, the company offers a comprehensive suite of services, including e-commerce solutions, HRM systems, cybersecurity, and IT ...",RELEVANT,7,"Software development company delivering custom software, web and app development plus its own SaaS products (DevzCart, CyberPOZ)."
Top Rated Designer,https://toprateddesigner.com/,"Top Rated Designer, Your one stop digital solution for Web & Mobile App Development. We are a results-driven team specializing in crafting powerful digital experiences that scale your brand identity. We provide services like Web Development, Mobile App Development (iOS & Android), UX/UI Design, CMS Solution, AI Chatbot Integration and SEO Optimization. We pride ourslaves ...",IRRELEVANT,4,Unreachable site; the name and blurb point to a design-led 'digital experiences' shop rather than a custom-engineering firm.
TrillionBits Ltd.,http://trillionbits.com/,"In this ever-changing environment, keeping a competitive edge means being able to anticipate and respond quickly to changing business conditions. Our team is committed to providing IT Services with: • App development, Software development and Games development depending on trending market patterns. • Support Businesses ...",RELEVANT,7,"Web and app development company offering team extension plus dedicated frontend, backend and mobile app engineering."
BdCalling IT Limited,https://bdcalling.com/,"We are more than just a digital creative agency; we are architects of innovation, creators of captivating experiences, and partners in your digital journey. Our passion lies in crafting compelling narratives and bringing them to life through the seamless integration of design, technology, and strategy. ...",RELEVANT,7,"Large IT firm (Odoo Silver Partner) delivering ERP, AI, cloud and custom digital solutions, though it also brands itself a digital creative agency."
TechcoIT,https://www.techcoit.com/,"TechcoIT is a trusted and innovative Website Design and Development Company committed to helping businesses build impactful online experiences. We specialize in crafting custom, high-performing websites tailored to meet the unique needs of startups, small businesses, and enterprises alike. Our core services include business website design, ecommerce website development, WordPress website design, real estate website ...",IRRELEVANT,3,"Website design and development company (WordPress/Squarespace/Wix) bundled with digital marketing, graphic design and image editing."
Arena Phone BD,https://www.arena.com.bd/,"Arena Phone BD LTD is a 100+ people software development company in Bangladesh, working has been providing dedicated development services to the various international and local organizations from Bangladesh in their diverse projects related to Website development, Web application development, Software development, Mobile apps and content development since 2007. Our portfolio speaks for our success ...",RELEVANT,7,"100+ person software development company providing dedicated web, app and software development services to international clients (judged on description)."
Industrial ERP and CRM Software,https://dotbook.com/,"At DotBook ERP, our passionate team of developers, analysts, and innovators is dedicated to delivering smart, reliable ERP solutions that streamline business operations and drive growth for companies of all sizes. Our story Years ago, our founding team worked closely with a mid-sized steel manufacturing company struggling to manage its complex operations. From procurement delays ...",RELEVANT,7,"Builds a full ERP/CRM product suite (POS, HRM, inventory, project, service management) with a developer/analyst team."
Magnetism Tech Limited,https://magnetismtech.com/,"Magnetism Tech Limited is a leading software company in Bangladesh, specializing in custom software development and tech services. We are recognized as a top software solution provider, offering a wide range of services from business intelligence solutions to workflow automation.Our team of expert IT professionals is dedicated to delivering quality software development and reliable tech ...",RELEVANT,7,"Custom software and ERP developer building tailored ERP (real-estate, shipping) systems and IoT solutions."
Generation Next IT Solution LTD.,https://gnisbd.com/,"Here's a professional company description based on the information available on GNISBD.com:Generation-Next IT Solution Ltd. (GNIS) is a leading software development and IT consultancy company in Bangladesh, established in 2005 with a mission to deliver innovative, reliable, and cost-effective technology solutions. With nearly two decades of industry experience, GNIS has been helping businesses accelerate digital ...",RELEVANT,7,Software development and IT consultancy behind the GPAC ERP/accounting/POS/HRM/CRM product line with custom development services.
LS COMMUNICATIONS,http://lscominc.com/,"LS COMMUNICATIONS is one of the leading IT service providers in the country and one of the leading software exporters in Bangladesh. Since our inception in 2013, we, L, have dedicated ourselves to serving LS Communications in various IT fields like software solution turnkey providers, ...",RELEVANT,7,"Custom software and web development firm building education, ERP, POS and management-system software since 2013."
Ascii System,http://www.asciisys.com/,"Committed IT Partner is a full-stack Web & Application development and IT consultancy firm that provides bespoke solutions worldwide. To fulfil our client's goal, we employ technologies up to date with the latest industry standards. Team ASCII understands your goals & empower your business to ...",RELEVANT,7,Full-stack web and application development and IT consultancy delivering bespoke software solutions worldwide.
Devute,https://devute.com/,"Devute is a software development company that provides startup to enterprise-level software globally.Devute is a global software and website development company committed to providing exceptional services to startups and enterprises. Focusing on rearing our client's businesses, we specialize in creating intuitive user interfaces and CRM ...",RELEVANT,7,"Forward-deployed engineering studio embedding senior engineers for production AI, web apps and SaaS/MVP builds, plus some marketing services."
Hypertek Labs,https://hyperteklabs.com/,"Hypertek Labs is a custom software development company that partners with businesses across a wide range of industries to deliver scalable, high-performance digital solutions. Our team of experienced developers, engineers, and designers work closely with clients to deeply understand their unique challenges and business goals. We specialize in building tailored software solutions — from ERP ...",RELEVANT,7,"Custom software development company delivering web, mobile and enterprise software with an experienced developer team."
itstenc,https://itstenc.com/,"We are your trusted partner in digital growth, With powerful server, affordable pricing, and top-tier Security. We provide scalable hosting packages tailored to your needs.",IRRELEVANT,3,Primarily a domain/web-hosting and VPS reseller with basic website development; not a custom-engineering firm.
Infocrat Solutions Limited,https://infocrat.com.bd/,"Established in 2007, Infocrat Solutions Ltd. is a leading ERP software provider in Bangladesh, specializing in the textile and garments industry. Our flagship product, ESimSol (Easy & Simple Solutions), offers customizable ERP systems for spinning, dyeing, weaving, printing (AOP), fabric processing, denim, washing, RnD, and labs.",RELEVANT,7,"Enterprise ERP vendor for the textile/apparel industry (ESimSol) plus accounting, HRM/payroll and customized software over 15+ years."
Al-Hiyal Automation Limited,https://alhiyal.com/,"Al-Hiyal Automation Limited is a Bangladesh-based software and IT solutions company that helps organizations convert manual processes into efficient, measurable digital workflows. We design and deliver customized software, including web and mobile apps, business automation, and cloud solutions, to boost productivity, lower costs, and speed up decision-making processes. Our core services include custom Software Development, ...",RELEVANT,7,"Automation-focused engineering firm doing RPA, custom application development, Azure cloud services and Power Platform (Apps/BI)."
Pakiza Software Limited,https://pakizasoftware.com/,"PAKIZA Software Ltd., from its initiation, focused on a disciplined and structured form of company which will lead to keeping the reputation towards upcurve. With the vision to create a sustainable, profitable textile and RMG industry. Pakiza Software Ltd. provides their main focus on technological upgradation, flexible customizable options within a very short time, experienced ...",RELEVANT,7,"Enterprise software vendor delivering an AI-powered, multi-module all-in-one business software/automation suite."
Global IT Solutions,http://globalitsolutions.com.bd/,"Global IT Solutions specializes in Enterprise Applications development, offering Custom Application Development Services, Application re-engineering, and Web Application Development. Since its establishment in 2018, Global IT Solutions has been delivering top-notch financial management and human capital management tailored to the needs of the largest corporations, educational institutions, and government agencies worldwide. Global IT Solutions caters ...",RELEVANT,7,"Enterprise application developer offering custom application development, re-engineering, HCM/ERP/POS products and cloud migration."
Infosoftbd Solutions,https://infosoftbd.com/,"Infosoftbd Solutions is a private Software development firm In Bangladesh. We help our clients achieve their goals by helping them implement and use new technology, streamline their processes and workflows, improve the customer experience, enhance their marketing strategy, increase sales from a global perspective, simplify operations by improving efficiency, decrease costs by automating workflows . ...",RELEVANT,7,"Builds AI-powered contact-center and CRM software, voice/messaging APIs and agentic AI automation as a product-engineering firm."
Acquaint Technologies,https://acquaintbd.com/,"Acquaint Technologies is the Best IT, Website & Software Development Company in Bangladesh established in 2014. We provide Software Development, Web development, Digital marketing, SEO Service, Mobile App development and many more. We are a software company as well as a digital transformation consultancy agent in Bangladesh and a next generation tech savvy solutions company ...",RELEVANT,7,Builds a broad suite of ERP/POS/HR/automation software products plus custom software and web development since 2014.
Vista SysTech,https://vistasystech.com/,"We are a Web/App Development Company & Digital Marketing Agency. We're not just another digital agency. At Vista SysTech, we're passionate about making your online vision a reality. We believe that every business, big or small, deserves a strong digital presence. That’s why we’re committed to providing personalized solutions that help you stand out in ...",RELEVANT,7,"Custom web/enterprise software, API integration, team augmentation, AI/ML and explicit CI/CD & DevOps and cloud services (with some marketing add-ons)."
NG-CODER,https://ng-coder.com/,"NG Coder is a Bangladesh-based software development company committed to delivering high-quality, scalable, and cost-effective digital solutions to clients worldwide. We specialize in custom web application development, mobile apps, and enterprise software solutions with a strong focus on Laravel, PHP, Vue.js, and modern JavaScript technologies. Our mission is to empower small and medium-sized businesses, startups, ...",RELEVANT,7,Software development company building custom web (Laravel/React/Vue) and cross-platform mobile applications over 8+ years.
Together Initiatives (p) Limited,https://www.i2gether.com/,"Together is a software development company with extensive expertise in managing end-to-end life cycle of enterprise applications. It is founded in January, 2010 and successfully run for 12 years. Founders having more than 15 years experience in software industry have been leading this company. Four (4) out of seven founders are from a very reputed ...",RELEVANT,7,Software development outsourcing firm managing end-to-end enterprise application lifecycles with real custom-development projects (e.g. bKash).
iSSl,http://www.issl.com.bd/,"Impel Service & Solutions Limited (iSSL) have been operating since 2011 as a Business Process Outsourcing (BPO) firm, offering a comprehensive set of services and solutions for domestic & international markets with superior quality considerations. The key proposition of our services are quality-centric processes with a strong emphasis on information security, state of the art ...",IRRELEVANT,4,Primarily a BPO/call-center and social-media-marketing firm; custom software and app development is a small secondary line.
LeanCore Technologies,https://leancore.net/,"LeanCore Technologies is a Dhaka-based technology company specializing in building scalable, efficient, and user-centric digital solutions for businesses worldwide. With a strong focus on innovation and performance, we help organizations streamline operations, enhance customer experiences, and accelerate growth through tailored software solutions. Our expertise spans across Travel & Aviation Technology, enterprise software, e-HRIS systems, AgroTech, ...",RELEVANT,7,Software firm with certified engineers building custom platforms and its own SaaS product (Travelkeep booking/agent management).
Connect Firm Ltd,http://www.connectfirm.com/,"Connect Firm Ltd is a pioneer being one-stop service provider established in Bangladesh to serve globally for giving solutions to your digital marketing firm. We provide innovative yet effective business consultancy services being business consultancy firm from Bangladesh. This inspirational story-line also includes the involvement of new talents mind, ups-downs and the commitment to give ...",IRRELEVANT,3,Self-described digital marketing and web development agency with a thin site and no custom-engineering signal.
