name,linkedinUrl,website,tagline,description,foundedYear,employeeCount,employeeCountRange,followerCount,companyType,industries,specialities,hqCity,hqCountry
MFC Transport Pvt Ltd,https://www.linkedin.com/company/mfc-transport-pvt-ltd/,http://www.mfctransport.com,"We deliver ON TIME, EVERY TIME","MFC Transport Pvt Ltd is an asset based, family owned and operated company established in 1973. With the corporate office based in Mumbai and a personnel strength of over 400 employees, we have in-house transport, project forwarding, freight forwarding, custom brokerage, port handling, warehousing and distribution divisions working in complete synergy to ensure our core values -- Innovation, Quality, Safety, Respect, Transparency and Competitiveness.   MFC has been investing in developing its ow",2001,220,201-500,15586,Privately Held,"Transportation, Logistics, Supply Chain and Storage","Transportation of Heavy & Odd Size Equipment's., Freight Forwarding., project forwarding., Warehousing & Distribution., Port Handling, Route Survey and Feasibility Studies, Site & Base Handling, Inter Location Movements, Multimodal Transportation, Coastal Shipping, Breakbulk, Air & Sea Charter, Port Handling, Equipment Leasing, Lifting Solutions, Placement on Foundation, Customs Consultancy and Brokerage, River Barging, Contract Logistics",Mumbai,India
Minfy,https://www.linkedin.com/company/minfy/,http://www.minfytech.com,Applied Technology. Smarter Business.,"Minfy is the Applied Technology Architect, guiding businesses to thrive in the era of intelligent data applications. We leverage the power of cloud, AI, and data analytics to design and implement bespoke technology solutions that solve real-world challenges and propel you ahead of the curve. Recognized for our innovative approach and rapid growth, Minfy has been featured as one of Asia Pacific's fastest-growing companies by The Financial Times (2022) and listed among India's Growth Champions 202",2016,550,501-1000,82109,Privately Held,IT Services and IT Consulting,"Cloud Advisory, Migration and App Development, Cloud Consultants Staffing, Mobility Advisory, Consulting and App Development, Test Automation Consulting, Managed Services, Cloud Readiness Assessment (CRA), Cloud Architecture Review(CAR), Cloud Computing, Amazon Web Services Consulting, Azure Cloud Computing, Google Cloud Computing, AWS Premier Consulting Partner, AI, Data Analytics",Hyderabad,India
OWASP® Foundation,https://www.linkedin.com/company/owasp/,http://owasp.org,Every vibrant technology marketplace needs an unbiased source of information.  OWASP is synonymous with AppSec.,"The Open Worldwide Application Security Project (OWASP) is a worldwide free and open community focused on improving the security of software. Our mission is to make application security ""visible,""​ so that people and organizations can make informed decisions about application security risks. Everyone is free to participate in OWASP and all of our materials are available under a free and open software license. The OWASP Foundation is a 501c3 not-for-profit charitable organization that ensures the",2001,687,2-10,304341,Nonprofit,Software Development,,Wilmington,United States
"Zentelex Pvt. Ltd. | One Hub for Telecom, IT Infrastructure, Software & Digital Marketing Services",https://www.linkedin.com/company/zentelexpvtltd/,https://www.zentelex.com/,Your Technology & Digital Growth Partner,"Zentelex Pvt. Ltd. is a leading technology and digital transformation company helping businesses accelerate growth through innovative IT, telecom, software, and digital solutions. We specialize in Telecom Solutions, Web Design & Development, Web Hosting, Custom Software Development, Mobile Application Development, and Digital Marketing services tailored to meet modern business needs.  Our expertise extends to IT Infrastructure Management, Networking & Connectivity, Cloud & Virtualization, Server",2024,14,11-50,1281,Privately Held,IT Services and IT Consulting,"Digital Marketing, Software Development, PPC, Toll free Number, Website Development, Mobile App Development, Auto Dailer, Telecom, Cybersecurity, Software Development, IT Infrastructure, Cloud & Virtualization, VoIP",Kolkata,India
Techmapperz,https://www.linkedin.com/company/techmapperz/,https://www.techmapperz.com/,"Software Development, GIS Mapping and Drone Survey Company | LiDAR Experts India","𝐓𝐞𝐜𝐡𝐦𝐚𝐩𝐩𝐞𝐫𝐳 𝐢𝐬 𝐚 𝐥𝐞𝐚𝐝𝐢𝐧𝐠 𝐈𝐓, 𝐆𝐈𝐒, 𝐚𝐧𝐝 𝐃𝐫𝐨𝐧𝐞 𝐬𝐨𝐥𝐮𝐭𝐢𝐨𝐧𝐬 𝐜𝐨𝐦𝐩𝐚𝐧𝐲 𝐭𝐡𝐚𝐭 𝐭𝐮𝐫𝐧𝐬 𝐜𝐨𝐦𝐩𝐥𝐞𝐱 𝐝𝐚𝐭𝐚 𝐚𝐧𝐝 𝐧𝐞𝐰 𝐢𝐝𝐞𝐚𝐬 𝐢𝐧𝐭𝐨 𝐫𝐞𝐚𝐥 𝐛𝐮𝐬𝐢𝐧𝐞𝐬𝐬 𝐠𝐫𝐨𝐰𝐭𝐡. We design and build Websites, Mobile Apps, CRMs, and custom IT solutions and deliver precise GIS & Drone mapping. So you get faster decisions, better leads, and real ROI.  𝐖𝐡𝐚𝐭 𝐰𝐞 𝐝𝐨: 𝐖𝐞𝐛𝐬𝐢𝐭𝐞 𝐃𝐞𝐯𝐞𝐥𝐨𝐩𝐦𝐞𝐧𝐭 - Custom Website Development, Dynamic and Static Websites, E-commerce + CMS Development, Web Application Development 𝐀𝐩𝐩 𝐃𝐞𝐯𝐞𝐥𝐨𝐩𝐦𝐞𝐧𝐭 - Android + iOS App, Progressive Web",2021,14,11-50,1175,Privately Held,IT Services and IT Consulting,"Mobile APP Development, Drone Services, GIS Mapping, Drone Survey & Mapping, CRM Development, IT Consulting, Website Development, Remote Sensing Services, Drone Data Processing, E‑commerce Solutions, Full‑Stack Development, Progressive Web Apps (PWA), GIS Dashboard Development, Location‑Based Services, UI / UX Design & Prototyping, Geospatial Data Analytics, Land-Use / Land-Cover Mapping, Spatial Database Design",Kolkata,India
Sanatani Seva,https://www.linkedin.com/company/sanatani-seva/,www.sanataniseva.com,Your Gateway to Authentic Sanatani Rituals,"At Sanatani Seva, we are on a mission to make authentic Sanatan Dharma experiences accessible to all, anytime, anywhere. Rooted in deep tradition and driven by digital innovation, we offer verified online puja booking services, connect devotees with authentic content, and support temples and spiritual communities across India.  From sacred rituals at iconic temples to personalized pujas, Sanatani Seva is your trusted spiritual companion in the modern world. We believe devotion shouldn’t be bound",2025,3,2-10,6,Privately Held,"Technology, Information and Media",,Kalyani,India
Stealth Startup,https://www.linkedin.com/company/stealth-startup-community/,https://harmonic.ai/get-discovered,,A network for entrepreneurs building in stealth.   Submit your information here so investors can find you: harmonic.ai/get-discovered,,37306,11-50,1709573,Privately Held,"Technology, Information and Internet",,San Francisco,United States
Blue Hill Technologies,https://www.linkedin.com/company/bluehilltech/,http://bluehilltechnologies.com/,Leveraging technology to supercharge marketing!,"We analyse your requirements, build you a SRS, Plan and strategise the ROI, brain-storm the UI, Optimise the dataflow and Normalise the Queries. We Strive towards a well oiled Website and a Super-charged SAAS. eCommerce, CRM-implimentations, ERP and Application deployment, these are what we do to help you automate and establish your organisation. SEO and Digital Marketing to Expand and Establish your Brand.  Our Young Leaders can help you establish your brand with Marketing, media planning, Ad",2014,16,11-50,605,Privately Held,Information Technology & Services,"Website Development, CRM, Data Visualisation, Wordpress, eCommerce, Digital Marketing",Kolkata,India
Alphaxine,https://www.linkedin.com/company/alphaxine/,https://www.alphaxine.com/,Trusted SAP Partner — Human-Centered Digital Transformation,"Trusted digital transformation partner since 2019. We bridge trusted ERP foundations with intelligent automation, delivering AI-led enterprise solutions that drive measurable value.  Who we are: From niche SAP services to Deep Tech orchestrator—Alphaxine evolves with you. We combine deep domain expertise with cutting-edge AI capabilities to unlock transformation without the risk.  What we do: Strategic consulting | Enterprise applications | AI/ML solutions | Business process optimization | Indus",2019,27,51-200,2111,Privately Held,IT Services and IT Consulting,,Kolkata,India
Webredas Technologies,https://www.linkedin.com/company/webredas-technologies/,http://www.webredas.com/,"We do websites, mobile apps, SEO, SMO, SEM, graphic design, flyer, remote work.","Webredas Technologies Pvt. Ltd. is a professional website designing and development company, satisfying clients from a dozen countries across the globe. From web designing, development to pioneering novelty ways to boost your internet marketing and ROI, we will make your requirements come full circle. If you are scouting around for ROI driven services, Webredas is the all ears to your requirements.  What Services We Offer  Web Design Solutions - The first impression is something that lasts for a",2018,15,11-50,286,Privately Held,Information Technology & Services,"Web Design, Wed Devlopment, Search Engine Optimization, Mobile App Devlopment, Policy Servicing",Kolkata,India
Trisim Global Solutions,https://www.linkedin.com/company/trisim-global-solutions/,http://www.trisimglobal.com,"Engineering firm enabling ecosystem partners to make buildings liveable, factories productive and cities smarter","Trisim Global Solutions is the new age technology company that enables ecosystem partners by bridging gaps and bringing new tools to make buildings more liveable, factories more productive and cities smarter.  Riding on deep-seated domain knowledge and closely connect with the industry we serve, Trisim understands the emerging needs and serve as a value-added distributor of new-age smart technologies and as a knowledge service to system integration houses and end-customers.  At Trisim, we believ",2019,28,11-50,886,Privately Held,IT Services and IT Consulting,,Kolkata,India
Design Studio - UI/UX Design Agency,https://www.linkedin.com/company/design-studio-india/,https://www.designstudiouiux.com/,UI/UX Design Agency | Web & App Design | Website Design | 3D | Branding,"Welcome to Design Studio. We are one of the most highly-rated mobile & web UI/UX design agency.   We provide advanced UI/UX design services to businesses of all sizes industries. From conducting UI/UX research to creating fully-functional design prototypes, our team of creatives, UI/UX designers, & digital strategists do it all to help our clients create premium-grade digital products.  So far, we’ve partnered with various leading healthcare, banking, fintech, EdTech, fashion, real estate, & foo",2015,145,11-50,146469,Privately Held,Design Services,"webdesign, mobile app design, web app design, branding design, custom illustration, exhibition and signage, ebooks and brochures, whitepapers, packaging design, UI kit design, social micro content, web banners, sketch, adobe illustrator, adobe photoshop, UI Design, UX Design, App Design, SAAS, Webpage",Kolkata,India
Markzin,https://www.linkedin.com/company/markzin/,https://markzin.com/,"Grow your Business Digitally… Whatever, Wherever!","Markzin Young Private Limited (Markzin) got registered under the Companies Act 2013 in 2024.  Since 2019, Markzin has been working as registered LLP Company to facilitate adoption of technology driven and digital business practices across all subsets, with specific focus on financial and technology inclusion of women and youth from marginalised and excluded communities.  ‘Provision of digital solutions’ customised to special requirements of micro- small and medium entrepreneurs and ‘Training on ",2019,10,11-50,2603,Public Company,IT Services and IT Consulting,"EffectivewebsitesforBusiness , ITServices , ppcagency , iOSdevelopment , HonestEndeavours , bestdigitaltransformationofbusiness , IT , softwaredevelopment , flutter , Android, SelfReliance , Perseverance , Social Entrepreneurship",Hooghly,India
GroupZon Software Pvt. Ltd.,https://www.linkedin.com/company/groupzon-software-pvt-ltd/,http://www.groupzonsoftware.com,Best Friend for Android Mobile. ,,,28,11-50,278,Privately Held,IT Services and IT Consulting,,Kolkata,India
WebArt Technology Pvt. Ltd.,https://www.linkedin.com/company/webart-technology-pvt-ltd/,https://webart.technology/,Transform your business into a brand with us,"WebArt Technology Pvt. Ltd. is the ultimate destination for all your online needs. Since 2016, we offer complete web designing and digital marketing solution for businesses of all sorts, irrespective of the industry they belong to. For our team of skilled and dedicated professionals delivering the project keeping in mind utmost client satisfaction has always been the topmost priority.  We offer Website Development, Mobile Application Development, Digital Marketing and Content Writing services.  ",2016,123,51-200,12906,Privately Held,IT Services and IT Consulting,,Kolkata,India
Notebrain Software & Services Pvt Ltd (formally Notebrains),https://www.linkedin.com/company/notebrains/,https://www.notebrains.com/,,"Notebrain Software & Services Pvt Ltd is a global consulting service provider based out in Kolkata, India. Our mission is to help our customers create the path to commercial excellence and improve their profitability, efficiency and customer satisfaction.  Mission : “WE LOVE OUR CLIENTS & LOVE SEEING YOU SUCCEED!!” Value : “QUALITY, RESPONSIVENESS & OWNERSHIP IS OUR PRIME VALUE”  Our core expertise are as - - Website Design Build beautiful websites to enrich your business globally using PHP, Wor",2021,22,11-50,737,Partnership,IT Services and IT Consulting,,Kolkata,India
Geotech Infoservices,https://www.linkedin.com/company/geotech-infoservices-pvt-ltd/,http://www.geotechinfo.net/,Challenging the way business think about digital development,"Geotech Infoservices Pvt Limited is a 22-year-old software development company based in Kolkata, India.   We started off as an Indo-German JV and after 6 years became an independent software vendor catering to mostly EU and US clients.   We are focused on bringing the best and most efficient business solutions to our clients using the new and evolving technologies. Along with our people, our assets are the rich experience and knowledge we have gained across technology verticals.  We had the priv",2002,106,51-200,6907,Privately Held,Information Technology & Services,"Mobile Application Development, Blockchain, IoT and Proximity Sensors, Web Application Development, AR, VR",KOLKATA,India
Eventify,https://www.linkedin.com/company/eventify.io/,https://eventify.io,Your All-in-One Event Management Software! From Event Registrations to Badge Printing to Event App! Never move away!,"Eventify is a multi-featured, completely customizable event management platform for creating information-rich, user-friendly mobile event apps. From events and trade shows, to exhibitions, conferences, meetings and workshops - Eventify offers end-to-end app development services.  The Eventify event planning platform has been created to help organizers create specialized event apps quickly and with absolute ease. Prior coding knowledge is not required, and simple drag-and-drop features are availa",2017,45,11-50,3651,Privately Held,Software Development,"Event Management Software, Event Registration Software, Conference Management Software, Corporate Event Management, Event App Platform, Hybrid Event Platform, Virtual Event Platform, Event Ticketing Software, Event Check-In Software, Badge Printing Software, Attendee Networking, Event Matchmaking, Lead Retrieval, Event Analytics, Trade Show Management Software, Expo Management Software, Enterprise Event Management, AI Event Management Software, Event Automation, Mobile Event App, Event Engagement Platform, B2B Event Technology, Sponsor & Exhibitor Management, Event Management Platform, Event Management System, Event Management App, Event Management Solution, Event Plannning Software, Event Planning App, Event Badge Printing App, Lead  Retrieval App, Lead Capture App, Trade Show App, Event Software, Event Platform",Sydney,Australia
ConvexSol,https://www.linkedin.com/company/convexsol/,https://convexsol.com/,"Vision to Impact, Your #ITSuccessPartner.","ConvexSol is your trusted partner for comprehensive IT solutions and strategic consulting, empowering businesses in the heart of the Middle East to thrive in this digital era. Our team of passionate professionals combines deep industry knowledge with a relentless drive for innovation, crafting solutions tailored for your unique needs.  We are your one-stop IT shop offering comprehensive suite of tailor-made software, robust infrastructure, & seamless cloud adoption:  1. Web & Mobile App Developm",2023,18,201-500,1608,Partnership,IT Services and IT Consulting,"Web Development, Mobile App Development, E-Commerce, UI & UX Design, Web Design, Business Analytics, Visitor Management System, Human Resource Management System, CRM, AI & Machine Learning, Robotics Process Automation, AI Development, AI Powered App Development, Conversational Chatbot Development",Dubai,United Arab Emirates
Broadifi Technologies,https://www.linkedin.com/company/broadifi/,https://broadifitech.com/,"Inspire, Learn & Explore The Technology","From our Kolkata hub, we turn ambitious ideas into market-ready products. But here's what makes us different: we're obsessed with getting maximum impact from minimal resources. Think of it as lean tech with heavyweight results. We excel at building solutions that don't burn through your runway. Need to handle millions of users? We'll show you how without the cloud bill shock. Our engineering combines full-stack mastery (React, Angular, Vue, Node.js, Python) with intelligent architecture that sca",2019,35,11-50,3125,Privately Held,IT Services and IT Consulting,"Ethics, Startup Friendly",Kolkata,India
Wordsys Information Technology,https://www.linkedin.com/company/wordsystech/,http://www.wordsystech.com/,Wordsys is one of the best IT companies that provides some efficient integrated digital services for your business.,"Experience, passion for digital and innovation are the main foundations to make WordsysTech one of the best Digital Marketing Agencies in the world. We are based in Switzerland with a team of senior SEO & SEM Analysts, dedicated social media experts, a team of Amazon Specialists and two Project Managers to implement complex projects and to produce sound Digital Marketing Services. We are always in support of our Clients in 9 countries including India, Europe, US and Middle East. To know about us",,35,201-500,8783,Partnership,Information Technology & Services,,kolkata,India
Unidade BIM Solutions Private Limited,https://www.linkedin.com/company/unidade-bim-solutions-private-limited/,www.unidadebim.com,,One Stop Solution in BIM Services,,21,11-50,1301,Privately Held,IT Services and IT Consulting,"BIM , 3D Modeling, 2D Drafting, Family Creation, Vertual Coordination, Shop Fabrication drawings, Scan to BIM / Point Cloud, Redline Markups, Revit / Auto CAD / Navisworks / BIM360, Mechanical Contractor, Spool Drwing, Sleeve / Riser Drawing, BOQ / Material Takeoff",Kolkata,India
Aircom Limited,https://www.linkedin.com/company/aircom-limited/,www.aircomlimited.co.uk,"Aircom delivers clear, global communication through IP voice solutions.","Aircom Limited is a leading provider of innovative telecommunications solutions, committed to transforming how businesses and individuals connect in the digital era. With a focus on seamless connectivity, our company specializes in offering a range of services, including VoIP solutions, SIP trunking, DID numbers, and cloud communication systems.  At Aircom, we are dedicated to delivering high-quality, reliable, and cost-effective solutions to businesses worldwide, helping them optimize their com",2025,1,2-10,74,Privately Held,Telecommunications,,London,UK
EduMinds,https://www.linkedin.com/company/edu-minds-india/,https://eduminds.carneytechnologies.com/,Learn | Adapt | Success,"EduMinds was born from a simple yet powerful idea: to bridge the gap between traditional education and the rapidly evolving needs of the tech industry. Founded in Kolkata in 2014 by a team of passionate tech educators and industry veterans MD Israr Alam, Sarah Israr and Manish Kumar, to create a learning ecosystem that empowers individuals to thrive in the digital age.",2014,8,2-10,31,Educational Institution,Professional Training and Coaching,,Kolkata,India
Passionate Solver Technologies,https://www.linkedin.com/company/passionate-solver-technologies/,https://www.passionatesolver.tech/,"Flexible. Authentic .Value driven. 
Technology and Passion to Solve Problems at Scale","Passionate Solver Technologies (PST) is an innovative technology firm dedicated to solving complex industrial challenges. We specialize in the Manufacturing and Utilities sectors by blending IIoT, Frugal Computing, Data Science/Machine Learning, and Agentic AI workflows into one seamless ecosystem.  In the Utility Sector: We partner with industry leaders to modernize electric distribution through Advanced Metering Infrastructure (AMI), Workforce Management, and DER orchestration. Our partners le",2020,20,11-50,2341,Privately Held,IT Services and IT Consulting,,Kolkata,India
"Encoders  - Website, Ecommerce, Mobile Apps Development,  SEO, Digital Marketing Company",https://www.linkedin.com/company/encoders/,https://www.encoders.co.in,Making IT Simple,"Encoders designs, develops and supports customer-focused Internet solutions.  We specialize in projects that combines of strategy and cutting-edge technology into businesses, hence enabling huge cost cuttings in your daily web expenses.  Integrity in business, recognition as experts, quality control, and dynamic customer relations are the distinguishing variables which ensure our ongoing success and that of our customers. We share a mark with our customers to generate the maximum return on i",2006,48,2-10,1909,Privately Held,Information Technology & Services,"Mobile Apps Development, Software Development, Ecommerce development, Custom Crm development, Custom CRM Development, Website Testing, UI Design, SEO, Digital Marketing, Angular Js , React , Swift, Android, Firebase, Php, UI / UX, Quality Assurance, FOS Development, HRM Development, LMS Development, Website Design",Kolkata,India
ePayon Services Private Limited,https://www.linkedin.com/company/epayon-services-private-limited/,https://www.epayon.app/,,,,4,2-10,30,Privately Held,IT Services and IT Consulting,,Kolkata,India
Dream Logo Design,https://www.linkedin.com/company/dream-logo-design-dream-computers-/,https://www.dreamlogodesign.com/,"Logo Design, Print Design, Website Design & Development ","Dream Logo Design (Dream Computers) is a global company offering quality driven business solutions to clients scattered worldwide. The firm offers effective business solutions to companies over the years. in fact, it enjoys a huge base of clients for it is reliable, trustworthy and affordable. The Company began its operations since 2006 and since then it has been providing comprehensive services to customers. At present, the company has about 100+ employees including Logo design, Print design SE",2006,39,51-200,1130,Privately Held,IT Services and IT Consulting,"Dream Logo Design: Logo Design, Print Design, graphic design, Mobile app Development, website design, web development and digital marketing, Proessional Logo Design Services, Custom Logo Design Services, Logo Design Company, Web Development Company",Kolkata,India
Nidhi Associates,https://www.linkedin.com/company/nidhi-associates/,https://nidhi.associates,Redefining Legal Excellence with AI,"Nidhi Associates | AI-Enabled Legal & Corporate ProcessConsultancy  Nidhi Associates is a full-service Legal Process Management Consultancy delivering strategic, reliable, and compliant legal solutions to individuals, businesses, institutions, and public bodies across India.  Our multidisciplinary team of Advocates, Solicitors, Chartered Accountants, and Corporate Consultants provides end-to-end legal, regulatory, and advisory services across litigation, arbitration, corporate and commercial law",2022,10,11-50,47,Partnership,Legal Services,Law Firm,Kolkata,India
Siliconites GenX Global,https://www.linkedin.com/company/siliconitegenxglobal/,http://www.siliconsystems.in,"
Siliconites GenX Global | Empowering Businesses with ERP, Cloud, CRM & AI Solutions | Microsoft & Tally Certified ","Siliconites GenX Global is a Kolkata-based IT and ERP consulting company with 15+ years of experience in delivering practical, scalable, and business-focused technology solutions. Founded in 2010 by Partha Bhattacharyya and Dr. Mahua Bhattacharyya, we help organizations streamline operations, improve decision-making, and drive growth through ERP, CRM, Cloud, and Cybersecurity solutions.  We have successfully served 3,000+ clients across 75+ industries, completing 450+ ERP and CRM projects. Our e",2010,57,11-50,1082,Sole Proprietorship,IT Services and IT Consulting,"Tally ERP Consulting, Process Consulting, TDL, Tally Shop specialist, ERP Consulting, Microsoft NAV (formerly Navision), Dynamics 365 (formerly Microsoft CRM), Office 365 specialist, NAV customization and development, Microsoft Azure implementer, Tally 5 Star Certified Partner","5th Floor, Room 24",IN
Diadem Technologies Pvt. Ltd.,https://www.linkedin.com/company/diadem-technologies/,http://www.diadem.in,"ISO 27001 Certified, TIER IV Hosted, Private Cloud Hosting Provider since 2003. ","Diadem Technologies is a leading web hosting service provider, specialising in providing managed and customised hosted solutions for its 1500+ clients, pan India.   Over the past few years we have evolved from a plain vanilla shared hosting provider to a fully capable managed web hosting provider offering a multitude of hosting solutions which includes the following:   - Shared Linux + Windows Hosting Solutions (includes email antispam and AV, malware protection, Tomcat, MSSQL DBs and more)",2000,18,11-50,364,Privately Held,IT Services and IT Consulting,"Managed Cloud Server & VPS Hosting, Dedicated Server Hosting & Management, Email Marketing Solution, Hosted Messaging Solutions, Virtual Web Hosting Services (Linux + Windows), Domain Registration Services, SSL Certificates",Kolkata,India
Sohom Web Media,https://www.linkedin.com/company/sohom-web-media/,http://www.sohomwebmedia.in,One Stop Solution of Quality and Deliver-ability.,"WHAT WE DO Sohom Web Media is a rapidly expanding website design & development, have been successfully delivering different kinds of web solutions to the customers from all over the globe.  WHAT WE OFFER We currently have 15 full-time professionals each with a specific expertise in Custom Website Design Solutions (in Responsive, eCommerce, Mobile Site & UX/UI), Custom PHP Web Solutions (in CodeIgniter & CakePHP framework) and Open Source Solutions (in WordPress, Joomla, Drupal, Magento, PrestaSh",2008,25,11-50,88,Privately Held,IT Services and IT Consulting,"eCommerce Website Development, Website Application Development, PHP Web Development, WordPress Web Developoment, Graphic Design, Web Design, Logo Design, Brochure Design, Magento Web Development, Joomla Web Development",Kolkata,India
InnoFissionAI,https://www.linkedin.com/company/innofission-ai/,https://www.innofissionai.com/,Innovate | Integrate | Inspire,"InnofissionAI is a trailblazing brand committed to redefining digital transformation through the power of AI and cutting edge platforms. We specialize in delivering innovative, scalable, and data-driven solutions that empower businesses to adapt, grow, and thrive in a rapidly evolving digital world. With a focus on operational excellence and intelligent automation, InnofissionAI bridges the gap between complex technology and accessible solutions. Our mission is to inspire organizations to embrac",2025,13,11-50,2006,Privately Held,IT Services and IT Consulting,,Kolkata,India
WIFT Cap Solutions Pvt Ltd,https://www.linkedin.com/company/wift-cap-solutions-pvt-ldt/,http://wiftcap.com,Where technology meets YOUR business vision.,"Wift Cap Solutions Pvt Ltd is a software services company based in Kolkata, India. At Wift Cap, using our time tested framework for Outsourced software development, we help align Technology Strategy with Business Vision and reduce time to market. We have successfully developed several products. Our services include application development, mobility, quality assurance services, cloud ennoblement, etc.  Wift Cap Solutions Pvt Ltd empowers digital transformation.We are a trusted technology partner,",2015,14,51-200,2007,Privately Held,IT Services and IT Consulting,,Kolkata,India
MSQube Technology Solutions Pvt Ltd,https://www.linkedin.com/company/msqube-tech/,https://www.msqube.com,"Your partner for Automation, Artificial Intelligence/Machine Learning, Cloud migration","A highly convenient way to purchase grocery, food, and garments from your trusted shops with minimal cost. #ConvenienceCubeD Download Our App Now!",,39,11-50,760,Privately Held,IT Services and IT Consulting,"IOT, ROBOTICS, artificial intelligence, machine learning, AGRITECH",Kolkata,India
Webhibe Technologies,https://www.linkedin.com/company/webhibe-technologies/,http://www.webhibe.com,Develop and Market Your Ideas with Us,"Webhibe Technologies is an absolute Business Solution Consulting Agency. We have experienced superior Web and App Development and Digital Marketing Team. We're providing full-fledged Business Consultancy and we offer all the services from design, development to marketing under one roof. If you want quality over quantity and looking for the Best IT company in Kolkata you can connect with us.",2015,50,51-200,4668,Privately Held,IT Services and IT Consulting,,Kolkata,India
Codeflare Labs,https://www.linkedin.com/company/codeflare-labs/,www.codeflarelabs.com,IGNITING INNOVATION,Empowering the Future with Technology & Education. We bridge the gap between learning and real-world implementation through innovative IT solutions and comprehensive tech education.,2025,11,11-50,2383,Partnership,IT Services and IT Consulting,"Web Development, Software Development, Mobile Application Development",Kolkata,India
Newsepick,https://www.linkedin.com/company/newsepick/,https://newsepick.com/,"Collaborating Learning Environment
","Empowering Education Through Collaboration  Discover the Future of Education Your trusted partner to create a collaborative learning environment where technology complements the traditional learning environment to meet the dynamic needs of the AI and automation-driven world. Students learning journey captured like never before.  Newsepick is an amalgamation of FIVE powerful solutions to empower Schools, Teachers and Students.  Develop Build informed, aware, and responsible learners through safe,",2023,22,11-50,632,Privately Held,Education,"Education, collaborative Learning, K12 education, future of education, Edutech, K12, learning, school learning, edutech, techeduIndia",Kolkata,India
Pentile Global Tech,https://www.linkedin.com/company/pentile/,https://pentile.co.in/,TECHNOLOGY FOR MANKIND,"Pentile Global Tech is a dynamic IT solutions provider, committed to delivering cutting-edge technology and innovative solutions. As a part of the SAIARD Group of Companies, we specialize in a wide array of services, including software development, cloud computing, AI & machine learning, cybersecurity, blockchain, and data analytics.  Our mission is to empower businesses with advanced technology to drive digital transformation, improve efficiency, and ensure sustainable growth. Whether you’re lo",,17,2-10,162,Sole Proprietorship,IT Services and IT Consulting,,Kolkata,India
Ogma Conceptions,https://www.linkedin.com/company/ogma-conceptions/,https://www.ogmaconceptions.com,Ogma Conceptions provides #Web #Mobile #DevOps and #AI #ML talent “On-Demand” services to leading businesses,"Welcome to Ogma Conception, where innovation meets digital excellence! As a leading web development company in India. We are dedicated to transforming your digital vision into reality. With a suite of services that spans web development, app development, digital marketing, web design, and Internet of Things (IoT) solutions, we are your one-stop destination for comprehensive and cutting-edge digital experiences.  The establishment started its journey in 2013 and is successfully running its variou",2013,45,11-50,6167,Privately Held,IT Services and IT Consulting,"Website Design & Development, Logo Designing & Computer Graphics, Mobile Application Development, ERP & CRM Software Development, IT Infrastructure Development & Support, Digital Marketing Services, eCommmerce Web Development, iPhone Design, Internet Commerce, AngularJS, NodeJs, Laravel, MongoDB",Kolkata,India
Datamuse LLC,https://www.linkedin.com/company/datamuse-llc/,https://www.datamuse.io,Seeding Systems Change,"Developing investable pipelines of high-impact projects in the circular economy, agriculture, finance, and digital infrastructure, grounded in a systems change approach.",,4,11-50,37,Privately Held,Business Consulting and Services,,Silver Spring,United States
SoftGems,https://www.linkedin.com/company/softgems/,http://www.softgems.ca,"Cloud based Custom Web & Mobile Applications, Software Development and IT Consulting","SoftGems is a leading digital solutions provider to small and medium-sized businesses from various domains like Hospitality, Healthcare, Education and more.  Our services include -  1. Development of Web Applications that solve a variety of business problems and address emerging business opportunities. 2. Development of Mobile Applications for every industry, developed with our client's business needs and requirements in mind. 3. Customised Software Solutions like CRM-ERP that are developed from",2020,12,11-50,1186,Partnership,IT Services and IT Consulting,,KOLKATA,India
DCPL TECH,https://www.linkedin.com/company/dcpl-tech/,http://dcpltech.com/,The future and beyond ,"Dynamic Computronics Private Limited (DCPL TECH), formerly known as Computronics, has been serving the Information Technology industry since 2009. Our company, based in Kolkata, India, is committed to delivering top-quality services across a wide range of IT domains.  At DCPL TECH, we bring extensive expertise and experience to the table. Our services cover diverse areas, including mobile application design and development for iOS, Android, and hybrid platforms, web application development, webs",2009,19,11-50,776,Privately Held,IT Services and IT Consulting,"Software development, Website development, Web Application development, ITES services, Mobile Application development, IT Recruitment, Staffing Solutions, Offshoring",Kolkata,India
TRICO,https://www.linkedin.com/company/consult-trico/,https://consult-trico.com,How to do MORE with less,"TRICO, is dedicated to “How to do MORE with less”.   TRICO helps the Small, Medium and Large enterprise to discover improvement opportunities in their business  which leads to impressive savings year after year. This  helps the SML enterprise gain competitive advantage, boost profitability and operate more efficiently & effectively.   We are a Kolkata, India based team, having expertise in wasteful spend identification , assessment and optimization. Our experts evaluate and convert suppliers to ",2018,13,11-50,335,Sole Proprietorship,IT Services and IT Consulting,"Strategic Sourcing,, Procurement Consulting, Supply Chain Management, Category Management, Spend Analysis, Tail Spend Management, Contract Management, Supplier Relationship Management, Supply Chain Risk Management, Change Management, Performance Governance",Kolkata,India
