company,domain,cin,founder_name,din,title,linkedin_url,source_1_url,source_1_quote,source_2_url,confidence,identity_status
RipenApps,ripenapps.com,U72100DL2013PTC248891,Saurabh Pandey,,Director,,https://www.quickcompany.in/company/ripenapps-private-limited,"Follow Saurabh Pandey · Deepshikha Rai 3 Directors Company Information CIN ""> Status Activ",,medium,name_only
WeblineIndia,weblineindia.com,U72200MH2000PTC125018,Krishnan Govindan,,Director,,https://www.quickcompany.in/company/weblineindia-private-limited,"Follow Krishnan Govindan · Shobana Krishnan 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
mPhatek Systems Private Limited,mphatek.com,U72200PN2014PTC151804,Prasad Sharad Sathe,,Director,,https://www.quickcompany.in/company/mphatek-systems-private-limited-private-limited,"Follow Prasad Sharad Sathe · Arvind Baburao ... 3 Directors Company Information CIN ""> Status Activ",,medium,name_only
The Night Marketer,thenightmarketer.com,U72200TG2000PTC034320,Shameem Baqir,,Director,,https://www.quickcompany.in/company/the-night-private-limited,"Follow Shameem Baqir · Sabila Hussain 2 Directors Company Information CIN ""> Status Strik",,medium,name_only
JSM InfoSoft Pvt Ltd,jsminfosoft.com,U72900KA2018PTC119564,Mudda Akshaykumar,,Director,,https://www.quickcompany.in/company/jsm-infosoft-pvt-ltd-private-limited,"Follow Mudda Akshaykumar · Avinash Mudda 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
SpireHub Softwares Pvt Ltd.,spirehubs.com,U62012UP2023PTC186587,Nilesh Kumar Chaubey,,Director,,https://www.quickcompany.in/company/spirehub-softwares-pvt-ltd-private-limited,"Follow Nilesh Kumar Chaubey · Nilesh Mishra 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
ARVS IT Solutions Pvt. Ltd.,arvs.in,U72900DL2015PTC276554,Kishor Kunal,,Director,,https://www.quickcompany.in/company/arvs-it-solutions-pvt-ltd-private-limited,"Follow Kishor Kunal · Siddharth Tiwari 5 Directors Company Information CIN ""> Status Strik",,medium,name_only
Ubmatic,ubmatic.com,U72200PN2018PTC180910,Vishal Aeron,,Director,,https://www.quickcompany.in/company/ubmatic-private-limited,"Follow Vishal Aeron · Arpana Aeron 3 Directors Company Information CIN ""> Status Activ",,medium,name_only
Webner,webnersolutions.com,U72900CH2010PTC032125,Varun Chopra,,Director,,https://www.quickcompany.in/company/webner-private-limited,"Follow Varun Chopra · Meenakshi Chopra 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Keeves Technologies Private Limited,keevestechnologies.com,U72200WB2011PTC169528,Mukesh Pandit,,Director,,https://www.quickcompany.in/company/keeves-technologies-private-limited-private-limited,"Follow Mukesh Pandit · Nitin Kumar Singh 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Vriksha Techno Solutions,vrikshatech.com,U72900TN2022PTC153802,Keelachali Srinivasan Anusha,,Director,,https://www.quickcompany.in/company/vriksha-techno-solutions-private-limited,"Follow Keelachali Srinivasan Anusha · Rajesh... 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Tunerlabs Consulting Private Limited,tunerlabs.com,U72900KA2018PTC117695,Achuthan Nair Shyam,,Director,,https://www.quickcompany.in/company/tunerlabs-consulting-private-limited-private-limited,"Follow Achuthan Nair Shyam · Abdul Khader Sh... 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Green Apex,green-apex.com,U72900WB2012PTC186909,Harindra Singh,,Director,,https://www.quickcompany.in/company/green-apex-private-limited,"Follow Harindra Singh · Tanmoy Singh 4 Directors Company Information CIN ""> Status Activ",,medium,name_only
UniConverge Technologies,uniconvergetech.in,U72300UP2013PTC057272,Archana Sisodia,,Director,,https://www.quickcompany.in/company/uniconverge-technologies-private-limited,"Follow Archana Sisodia · Kaushlendra Singh S... 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
IT Path Solutions,itpathsolutions.com,U72900GJ2017PTC096543,Keyur Narendrabhai Patel,,Director,,https://www.quickcompany.in/company/it-path-solutions-private-limited,"Follow Keyur Narendrabhai Patel · Nikunj Har... 3 Directors Company Information CIN ""> Status Activ",,medium,name_only
TECUNIQUE PRIVATE LIMITED,tecunique.com,U72900GJ2022PTC134544,Rajendrasinh Bhagwansinh Chasatiya,,Director,,https://www.quickcompany.in/company/tecunique-private-limited-private-limited,"Follow Rajendrasinh Bhagwansinh Chasatiya · ... 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Aimdek Technologies,aimdek.com,U72200GJ2014PTC079639,Abhedkumar Ishvarlal Dekavadiya,,Director,,https://www.quickcompany.in/company/aimdek-technologies-private-limited,"Follow Abhedkumar Ishvarlal Dekavadiya · Hin... 3 Directors Company Information CIN ""> Status Activ",,medium,name_only
Xenovex Technologies Pvt Ltd,xenovex.com,U72900TN2009PTC071326,. Prabakar,,Director,,https://www.quickcompany.in/company/xenovex-technologies-pvt-ltd-private-limited,"Follow . Prabakar · Rakiyakowndanpudhur Shan... 3 Directors Company Information CIN ""> Status Activ",,medium,name_only
Gary Global Solutions,garyglobalsolutions.com,U67190DL1998PTC091660,Gokul Patnaik,,Director,,https://www.quickcompany.in/company/gary-global-private-limited,"Follow Gokul Patnaik · Ramesh Vangal 4 Directors Company Information CIN ""> Status Activ",,medium,name_only
Agnito Technologies Pvt Ltd,agnitotechnologies.com,U72900MP2017PTC043159,Vishal Sehgal .,,Director,,https://www.quickcompany.in/company/agnito-technologies-pvt-ltd-private-limited,"Follow Vishal Sehgal . · Hari Thakur . 4 Directors Company Information CIN ""> Status Activ",,medium,name_only
Netclues,netclues.com,U74999MH2008PTC180253,Neela Nikhil Mehta,,Director,,https://www.quickcompany.in/company/netclues-private-limited,"Follow Neela Nikhil Mehta · Nikhil Rajnikant... 2 Directors Company Information CIN ""> Status Strik",,medium,name_only
Tvisha Technologies Inc,tvisha.com,U72200TG2003PTC042027,Yoganand Babu Polepalli,,Director,,https://www.quickcompany.in/company/tvisha-technologies-private-limited,"Follow Yoganand Babu Polepalli · Sudhir Babu... 4 Directors Company Information CIN ""> Status Activ",,medium,name_only
Pyramidion Solutions,pyramidions.com,U72900TN2016PTC112161,Eddy Jeyakumar Navin Paul,,Director,,https://www.quickcompany.in/company/pyramidion-solutions-private-limited,"Follow Eddy Jeyakumar Navin Paul · Krithika ... 4 Directors Company Information CIN ""> Status Activ",,medium,name_only
EMedStore,emedstore.in,U52599KL2022PTC075646,Kizhakkebhagathu Ajith Joy,,Director,,https://www.quickcompany.in/company/emedstore-private-limited,"Follow Kizhakkebhagathu Ajith Joy · Smitha A... 4 Directors Company Information CIN ""> Status Activ",,medium,name_only
Zethic Technologies,zethic.com,U72900DL2020PTC364579,Arbob Mehmood,,Director,,https://www.quickcompany.in/company/zethic-technologies-private-limited,"Follow Arbob Mehmood · Shivam Kumar Soni 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Wisdomleaf Technologies,wisdomleaf.com,U72200KA2003PTC032027,Anupama Parthasarthy,,Director,,https://www.quickcompany.in/company/wisdomleaf-technologies-private-limited,"Follow Anupama Parthasarthy · Rajagopal Geetha 3 Directors Company Information CIN ""> Status Activ",,medium,name_only
Webzent Technologies,webzent.com,U72900UP2020PTC134033,Nandlal Kushwaha,,Director,,https://www.quickcompany.in/company/webzent-technologies-private-limited,"Follow Nandlal Kushwaha · Virendra Kumar Kus... 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Zweck Infotech Pvt Ltd,zweck.io,U72900KL2018PTC051623,Kiran Mohan Das,,Director,,https://www.quickcompany.in/company/zweck-infotech-pvt-ltd-private-limited,"Follow Kiran Mohan Das · Harsha Balakrishnan 3 Directors Company Information CIN ""> Status Activ",,medium,name_only
Krish Software Services (India) Private Limited,krishservicesgroup.com,U72200KA2015PTC084866,Gaviyaiah Boraiah,,Director,,https://www.quickcompany.in/company/krish-software-services-india-private-limited-private-limited,"Follow Gaviyaiah Boraiah · Srinivasulu Peruri 4 Directors Company Information CIN ""> Status Activ",,medium,name_only
RITWIK IT Services Private Limited,ritwikinfotech.com,U72900TG2011PTC076364,Vanaja Kotalo,,Director,,https://www.quickcompany.in/company/ritwik-it-services-private-limited-private-limited,"Follow Vanaja Kotalo · Seshadri Reddy Kotalo 4 Directors Company Information CIN ""> Status Activ",,medium,name_only
Upstair Technologies LLP,upstairtechnologies.com,,Alpeshbhai Rameshbhai Donga,,Director,,https://www.quickcompany.in/company/upstair-technologies-llp,"Follow Alpeshbhai Rameshbhai Donga · Hitesh ... 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
OMANGOM Infosystems Private Limited,omangom.com,U72300DL2015PTC288372,Karunakar Tiwari,,Director,,https://www.quickcompany.in/company/omangom-infosystems-private-limited-private-limited,"Follow Karunakar Tiwari · Ravi Kumar Vishwak... 3 Directors Company Information CIN ""> Status Activ",,medium,name_only
Connor Clark & Lunn India Private Limited,cclfg.cclgroup.com,U74999HR2021FTC097430,Sant Kumar Vyas,,Director,,https://www.quickcompany.in/company/connor-clark-lunn-india-private-limited-private-limited,"Follow Sant Kumar Vyas · Carl Ignatius Jacob... 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Webclick® Digital Pvt. Ltd,webclickindia.com,U72200DL2019PTC353505,Gunjan Singh,,Director,,https://www.quickcompany.in/company/webclick-digital-pvt-ltd-private-limited,"Follow Gunjan Singh · Usha Singh 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
The Tech Clouds,thetechclouds.com,U72900TG2020PTC139931,Jitender Ayyadevara,,Director,,https://www.quickcompany.in/company/the-tech-private-limited,"Follow Jitender Ayyadevara · Usha Kiranmai A... 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
WagerGeeks Private Limited,wagergeeks.com,U72900MP2022PTC060115,Manish Prajapat,,Director,,https://www.quickcompany.in/company/wagergeeks-private-limited-private-limited,"Follow Manish Prajapat · Nitin Agarwal 5 Directors Company Information CIN ""> Status Activ",,medium,name_only
Shira Infotech,shirainfotech.com,U72200DL2007PTC169653,Ajay Kumar Deb,,Director,,https://www.quickcompany.in/company/shira-infotech,"Follow Ajay Kumar Deb · Alok Kumar Deb 2 Directors Company Information CIN ""> Status Strik",,medium,name_only
ITSWS Technologies Pvt Ltd,itsws.com,U72300UP2015PTC069813,Awadhesh Kumar,,Director,,https://www.quickcompany.in/company/itsws-technologies-pvt-ltd-private-limited,"Follow Awadhesh Kumar · Manoj Kumar Gupta 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Ably Soft Pvt Ltd,ablysoft.com,U72200DL2010PTC211668,Manish Bhalla,,Director,,https://www.quickcompany.in/company/ably-soft-pvt-ltd-private-limited,"Follow Manish Bhalla · Jasmeet Kaur 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Isynbus Technologies,isynbus.com,U72900DL2019PTC357570,Kavendra Kumar,,Director,,https://www.quickcompany.in/company/isynbus-technologies-private-limited,"Follow Kavendra Kumar · Mohit Kumar 4 Directors Company Information CIN ""> Status Activ",,medium,name_only
Gemicates Technologies Pvt Ltd,gemicates.com,U29253TN2014PTC098558,Vijayaraja Rathinasamy,,Director,,https://www.quickcompany.in/company/gemicates-technologies-pvt-ltd-private-limited,"Follow Vijayaraja Rathinasamy · Rathinasamy ... 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Whizcamp Private Limited,whizcamp.tech,U72200PB2021PTC053903,Jagdip Singh,,Director,,https://www.quickcompany.in/company/whizcamp-private-limited-private-limited,"Follow Jagdip Singh · Paramjeet Kaur 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
SHL (India) Private Limited,shl.com,U74910MH1999PTC118801,Emmy Hackett,,Director,,https://www.quickcompany.in/company/shl-india-private-limited-private-limited,"Follow Emmy Hackett · Michael Edmondson 3 Directors Company Information CIN ""> Status Activ",,medium,name_only
Traviyo,traviyo.com,U63040DL2015PTC275044,Anil Kumar Jha,,Director,,https://www.quickcompany.in/company/traviyo-private-limited,"Follow Anil Kumar Jha · Kuldeep Chauhan 2 Directors Company Information CIN ""> Status Strik",,medium,name_only
Albiorix Technology Private Limited,albiorixtech.com,U72900GJ2018PTC104596,Hardik Mansukhlal Thakker,,Director,,https://www.quickcompany.in/company/albiorix-technology-private-limited-private-limited,"Follow Hardik Mansukhlal Thakker · Hardikkum... 3 Directors Company Information CIN ""> Status Activ",,medium,name_only
Dqot Solutions,dqotsolutions.com,U60300DL2018PTC342773,Ashish Malhotra,,Director,,https://www.quickcompany.in/company/dqot-solutions-private-limited,"Follow Ashish Malhotra · Sameer Gulati 4 Directors Company Information CIN ""> Status Activ",,medium,name_only
gNxt Systems,gnxtsystems.com,,Robin John,,Director,,https://www.quickcompany.in/company/gnxt-systems,"Follow Robin John · Somasekharan Ayappan Nair 3 Directors Company Information CIN ""> Status Activ",,medium,name_only
Nevina Infotech Pvt.Ltd,nevinainfotech.com,U72900GJ2021PTC126713,Rahim Ramzanali Ladhani,,Director,,https://www.quickcompany.in/company/nevina-infotech-pvt-ltd-private-limited,"Follow Rahim Ramzanali Ladhani · Rakeen Raje... 3 Directors Company Information CIN ""> Status Activ",,medium,name_only
Convergent Infoware,convergentinfoware.com,U72300WB2015PTC208651,Arunaday Roy,,Director,,https://www.quickcompany.in/company/convergent-infoware-private-limited,"Follow Arunaday Roy · Suman Kalyan Dey 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
STP Investment Services India Private Limited,stpis.com,U67190KA2014PTC075770,Saneesh Surendran,,Director,,https://www.quickcompany.in/company/stp-investment-services-india-private-limited-private-limited,"Follow Saneesh Surendran · Jitender Kumar Durga 3 Directors Company Information CIN ""> Status Activ",,medium,name_only
Quintero,quinterocorp.com,U72900KA2018PTC115330,Mohammad Yusuf Mudagal,,Director,,https://www.quickcompany.in/company/quintero-private-limited,"Follow Mohammad Yusuf Mudagal · Zaid Mohamma... 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Raga Designers,ragadesigners.com,U22130TG2014PTC095074,Nagaram Anirudh Reddy,,Director,,https://www.quickcompany.in/company/raga-designers-private-limited,"Follow Nagaram Anirudh Reddy · Sai Krishna U... 3 Directors Company Information CIN ""> Status Activ",,medium,name_only
Pixelstat,pixelstat.com,U72200TG2010PTC067151,Motkar Archana Mahesh,,Director,,https://www.quickcompany.in/company/pixelstat-private-limited,"Follow Motkar Archana Mahesh · Mahesh Surend... 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Intuz,intuz.com,U72200GJ2008PTC053666,Pratik Kiritkumar Rupareliya,,Director,,https://www.quickcompany.in/company/intuz-private-limited,"Follow Pratik Kiritkumar Rupareliya · Kiritk... 3 Directors Company Information CIN ""> Status Activ",,medium,name_only
Bitrix Infotech Pvt Ltd,bitrixinfotech.com,U74999GJ2017PTC097447,Pareshbhai Arvindbhai Thummar,,Director,,https://www.quickcompany.in/company/bitrix-infotech-pvt-ltd-private-limited,"Follow Pareshbhai Arvindbhai Thummar · Jaiki... 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
eClerx Services Ltd,eclerx.com,L72200MH2000PLC125319,Naresh Chand Gupta,,Director,,https://www.quickcompany.in/company/eclerx-services-ltd,"Follow Naresh Chand Gupta · Roshini Hemant B... 12 Directors Company Information CIN ""> Status Activ",,medium,name_only
iGex Solutions,igexsolutions.com,U72200WB2021PTC249734,Parul Tosawar,,Director,,https://www.quickcompany.in/company/igex-solutions-private-limited,"Follow Parul Tosawar · Mayank Tosawar 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Notiva Private Limited,nasscom.in,U01130DL2014PTC266012,Varun Bhateja,,Director,,https://www.quickcompany.in/company/notiva-private-limited-private-limited,"Follow Varun Bhateja · Surinder Kumar Bhateja 2 Directors Company Information CIN ""> Status Strik",,medium,name_only
InovarTech,inovar-tech.com,U72900TG2021PTC151382,Apratim Ghosh,,Director,,https://www.quickcompany.in/company/inovartech-private-limited,"Follow Apratim Ghosh · Suparna Ghosh 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Kanhasoft,kanhasoft.com,U72200TG2018PTC128521,Dildar Begum,,Director,,https://www.quickcompany.in/company/kanhasoft-private-limited,"Follow Dildar Begum · Mohammedahmed Jaleel 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
CITYTECH SOFTWARE,citytechcorp.com,U30007WB1993PTC060578,Kanak Banthia,,Director,,https://www.quickcompany.in/company/citytech-software-private-limited,"Follow Kanak Banthia · Kausik Brata Das 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Tycho Technologies Pvt Ltd,tychotechnologies.com,U74140DL2015PTC284422,Nidhi Singh,,Director,,https://www.quickcompany.in/company/tycho-technologies-pvt-ltd-private-limited,"Follow Nidhi Singh · Anshumaan Singh 3 Directors Company Information CIN ""> Status Activ",,medium,name_only
Awzpact Technologies & Services Pvt.Ltd.,awzpact.com,U72900MP2015PTC034371,Meena .,,Director,,https://www.quickcompany.in/company/awzpact-technologies-services-pvt-ltd-private-limited,"Follow Meena . · Parag Adlak 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Tecziq Solutions Pvt Ltd,tecziq.com,U93000DL2016PTC298469,Atiya Imtiyaz,,Director,,https://www.quickcompany.in/company/tecziq-solutions-pvt-ltd-private-limited,"Follow Atiya Imtiyaz · Tariq Kamal 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Scideas Solutions Pvt Ltd,scideassolutions.com,U72900DL2016PTC304663,Kumari Moni Bibhuti,,Director,,https://www.quickcompany.in/company/scideas-solutions-pvt-ltd-private-limited,"Follow Kumari Moni Bibhuti · Sumit Kumar 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Agreem Technologies,agreemtech.com,U72900DL2021PTC385448,Ambrish Kumar Singh,,Director,,https://www.quickcompany.in/company/agreem-technologies-private-limited,"Follow Ambrish Kumar Singh · Sushil Kumar 3 Directors Company Information CIN ""> Status Activ",,medium,name_only
IConflux Techonologies,iconflux.com,U72300GJ2013PTC075354,Sanket A Thakkar,,Director,,https://www.quickcompany.in/company/iconflux-techonologies-private-limited,"Follow Sanket A Thakkar · Ronakkumar Rameshb... 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
DigitalOpeners,digitalopeners.com,U72900TG2018PTC128117,Santosh Kumar Padala,,Director,,https://www.quickcompany.in/company/digitalopeners-private-limited,"Follow Santosh Kumar Padala · Ketaki Koutige 2 Directors Company Information CIN ""> Status Strik",,medium,name_only
GOPRIME NETWORKS & SYSTEMS PVT LTD,primenetworks.io,U72900MH2022PTC375802,Bhaskar Achheylal Sharma,,Director,,https://www.quickcompany.in/company/goprime-networks-systems-pvt-ltd-private-limited,"Follow Bhaskar Achheylal Sharma · Poonam Bha... 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Weblink Solutions,weblink.co.in,U74999UP2017PTC089173,Shyam Sunder,,Director,,https://www.quickcompany.in/company/weblink-solutions-private-limited,"Follow Shyam Sunder · Ankita Dhir 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
jiWeb Technologies,jiwebtech.com,U72900DL2009PTC191889,Asif Ali,,Director,,https://www.quickcompany.in/company/jiweb-technologies-private-limited,"Follow Asif Ali · Mohd Ishtiyaque Ahmad 2 Directors Company Information CIN ""> Status Strik",,medium,name_only
E Launch Solution Pvt. Ltd.,elaunchinfotech.com,U72200GJ2014PTC078321,Rakeshkumar Rameshbhai Ramani,,Director,,https://www.quickcompany.in/company/e-launch-solution-pvt-ltd-private-limited,"Follow Rakeshkumar Rameshbhai Ramani · Sandi... 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Kadam Technologies Pvt. Ltd.,kadamtech.com,U72200HR2015PTC054649,Mohit Singhal,,Director,,https://www.quickcompany.in/company/kadam-technologies-pvt-ltd-private-limited,"Follow Mohit Singhal · Amit Gupta 3 Directors Company Information CIN ""> Status Activ",,medium,name_only
Bel Technology,bel-technology.com,U72200DL2014PTC265081,Sandeep Kumar Kewalramani,,Director,,https://www.quickcompany.in/company/bel-technology-private-limited,"Follow Sandeep Kumar Kewalramani · Manish Ku... 3 Directors Company Information CIN ""> Status Activ",,medium,name_only
Techninza,techninza.in,U72900MH2007PTC174634,Sureshkumar Khubchand Gursahani,,Director,,https://www.quickcompany.in/company/techninza-private-limited,"Follow Sureshkumar Khubchand Gursahani · Jit... 3 Directors Company Information CIN ""> Status Activ",,medium,name_only
SkyQuest Technology Consulting Pvt. Ltd.,skyquestt.com,U33125GJ2006PTC048576,Akash Mahendra Bhavsar,,Director,,https://www.quickcompany.in/company/skyquest-technology-consulting-pvt-ltd-private-limited,"Follow Akash Mahendra Bhavsar · Shriya Sanje... 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Infynno Solutions,infynno.com,U72900KL2019PTC058919,. Sharin Ponnayyan,,Director,,https://www.quickcompany.in/company/infynno-solutions-private-limited,"Follow . Sharin Ponnayyan · . Shijin Ponnayyan 5 Directors Company Information CIN ""> Status Activ",,medium,name_only
Advertro India,advertroindia.co.in,U72200DL2020PTC370738,Harish Chandra Mishra,,Director,,https://www.quickcompany.in/company/advertro-india-private-limited,"Follow Harish Chandra Mishra · Pammy Kumari 2 Directors Company Information CIN ""> Status Strik",,medium,name_only
Debut Infotech Global Technologies LLC,debutinfotech.com,U72900PB2013PTC037926,Daljit Singh Panesar,,Director,,https://www.quickcompany.in/company/debut-infotech-private-limited,"Follow Daljit Singh Panesar · Harpreet Singh... 3 Directors Company Information CIN ""> Status Activ",,medium,name_only
EliteSigma Infotech,elitesigma.com,,Nilay Punamchand Soni,,Director,,https://www.quickcompany.in/company/elitesigma-infotech,"Follow Nilay Punamchand Soni · Manju Astwal 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Zerone Consulting,zerone-consulting.com,U72200KL2004PTC017084,Jeyash Abdulrahman Puthuparambil,,Director,,https://www.quickcompany.in/company/zerone-consulting-private-limited,"Follow Jeyash Abdulrahman Puthuparambil · As... 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Illuminz,illuminz.com,U45309MH2020PTC351418,Prince Jashvantlal Anand,,Director,,https://www.quickcompany.in/company/illuminz-private-limited,"Follow Prince Jashvantlal Anand · Neelam Nar... 2 Directors Company Information CIN ""> Status Strik",,medium,name_only
iTechNotion Pvt Ltd,itechnotion.com,U72900GJ2019PTC110537,Avkashkumar Hasmukhbhai Kakdiya,,Director,,https://www.quickcompany.in/company/itechnotion-pvt-ltd-private-limited,"Follow Avkashkumar Hasmukhbhai Kakdiya · Hir... 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Stark Digital Media Services Pvt Ltd,starkdigital.net,U72900PN2013PTC146869,Amit Shivaji Mohol,,Director,,https://www.quickcompany.in/company/stark-digital-media-services-pvt-ltd-private-limited,"Follow Amit Shivaji Mohol · Shivaji Maruti M... 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Facile Technolab Pvt Ltd,faciletechnolab.com,U72501GJ2016PTC086012,Prashant Nandlal Lakhlani,,Director,,https://www.quickcompany.in/company/facile-technolab-pvt-ltd-private-limited,"Follow Prashant Nandlal Lakhlani · Ranamal P... 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Renu SB Creation Software Pvt Ltd (SB Creation),sbcreationgroup.com,U74999WB2017PTC223218,Bbiswajit Biswas,,Director,,https://www.quickcompany.in/company/renu-sb-creation-software-pvt-ltd-sb-creation-private-limited,"Follow Bbiswajit Biswas · Anita Biswas 3 Directors Company Information CIN ""> Status Activ",,medium,name_only
iSkylar Technologies,iskylar.com,U72200DL2014PTC272833,Aseem Yadav,,Director,,https://www.quickcompany.in/company/iskylar-technologies-private-limited,"Follow Aseem Yadav · Prabha Yadav 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
FinByz Tech Pvt Ltd,finbyz.tech,U74999GJ2016PTC093294,Nishita Mukesh Variyani,,Director,,https://www.quickcompany.in/company/finbyz-tech-pvt-ltd-private-limited,"Follow Nishita Mukesh Variyani · Mukesh Moha... 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Averta Strategy Pvt LTd.,avertastrategy.com,U72900PN2020PTC190435,Mukesh Dattatraya More,,Director,,https://www.quickcompany.in/company/averta-strategy-pvt-ltd-private-limited,"Follow Mukesh Dattatraya More · Anand Babura... 3 Directors Company Information CIN ""> Status Activ",,medium,name_only
LIFO Technologies Pvt. Ltd.,lifotechnologies.com,U72900TN2011PTC083495,Mohan Nandakumar,,Director,,https://www.quickcompany.in/company/lifo-technologies-pvt-ltd-private-limited,"Follow Mohan Nandakumar · Kaliyamurthy Subas... 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Imenso Software,imensosoftware.com,U72200DL2011PTC213788,Parmod Rani,,Director,,https://www.quickcompany.in/company/imenso-software-private-limited,"Follow Parmod Rani · Rahul Kamboj . 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
CloudTrains Technologies Pvt.Ltd,cloudtrains.com,U72200MP2018PTC047128,Tripti Tiwari,,Director,,https://www.quickcompany.in/company/cloudtrains-technologies-pvt-ltd-private-limited,"Follow Tripti Tiwari · Aditya Chaturvedi 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
MAG Studios,mag-corp.com,U92113TN2021PTC145275,Darryl Christopher,,Director,,https://www.quickcompany.in/company/mag-studios,"Follow Darryl Christopher · Sekharbe Livings... 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Lingo Solution Private Limited,lingosolution.com,U74140DL2012PTC246154,Prabhat Kumar,,Director,,https://www.quickcompany.in/company/lingo-solution-private-limited-private-limited,"Follow Prabhat Kumar · Rakhi Kumari 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Simplior Technologies Pvt Ltd.,simplior.com,U72900GJ2020PTC113726,Purvesh Vishnubhai Patel,,Director,,https://www.quickcompany.in/company/simplior-technologies-pvt-ltd-private-limited,"Follow Purvesh Vishnubhai Patel · Purvi Purv... 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
WebOsmotic Pvt. Ltd.,webosmotic.com,U72900GJ2021PTC126986,Vipul Bhavarlal Jain,,Director,,https://www.quickcompany.in/company/webosmotic-pvt-ltd-private-limited,"Follow Vipul Bhavarlal Jain · Sheetal Vipul ... 3 Directors Company Information CIN ""> Status Activ",,medium,name_only
Peninsular Research Operation,peninsularresearchops.com,U74999TN2021PTC143886,Shanmugasundaram Karthikeyan,,Director,,https://www.quickcompany.in/company/peninsular-research-operation-private-limited,"Follow Shanmugasundaram Karthikeyan · Vedamu... 3 Directors Company Information CIN ""> Status Activ",,medium,name_only
Froiden Technologies,froiden.com,U72900RJ2014PTC045506,Ajay Kumar Choudhary,,Director,,https://www.quickcompany.in/company/froiden-technologies-private-limited,"Follow Ajay Kumar Choudhary · Abhinav Saraswat 3 Directors Company Information CIN ""> Status Activ",,medium,name_only
Inbox Infotech,inboxtechs.com,U72900GJ2016PTC093987,Kailasben Girdharbhai Patel,,Director,,https://www.quickcompany.in/company/inbox-infotech-private-limited,"Follow Kailasben Girdharbhai Patel · Payal J... 4 Directors Company Information CIN ""> Status Activ",,medium,name_only
Banyan Tree Ecosys Pvt. Ltd.,abanyantree.com,U62099PN2023PTC226904,Anantkumar Arjunan Malikaveetil,,Director,,https://www.quickcompany.in/company/banyan-tree-ecosys-pvt-ltd-private-limited,"Follow Anantkumar Arjunan Malikaveetil · Bee... 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Mobcoder,mobcoder.com,U72300UP2014PTC067147,Ram Gopal,,Director,,https://www.quickcompany.in/company/mobcoder-private-limited,"Follow Ram Gopal · Ashutosh Kumar Singh 3 Directors Company Information CIN ""> Status Activ",,medium,name_only
Rheal Software,rheal.com,U72200MH2000PTC125878,Vishal Rajinderpal Vohra,,Director,,https://www.quickcompany.in/company/rheal-software-private-limited,"Follow Vishal Rajinderpal Vohra · Devika Vis... 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
