rank,band,score,confidence,name,city,domain,website,headcount,already_in_hubspot,contact_known,GOLD_pts,TierA_pts,TierB_pts,TierC_pts,raw_before_caps,caps_applied,pre2024_basis,private_repo_host_hits,review_gate_hits,cicd_hits,jd_chars,evidence,graded_by,why_this_rank
229,Skip,33,Inferred,Orion eSolutions Private Limited,Mohali,orionesolutions.com,https://www.orionesolutions.com,,,,10,0,10,13,33,,"EXISTED_NO_SW_WORDING: 2023 archive, no software wording",0,0,0,49657,"jd 49657 chars: real QA Tester ad, no repo host or review gate | site_quotes qa: 'Dedicated QA and Testing Team', test plans, debugging | site_quotes sdlc: 'effectively using scrum methodology for project management' | site_quotes: own 'WellBeing Navigator' AI coaching product",agent,
230,Skip,33,Inferred,Techindia Infoway Pvt Ltd,Chennai,techindia.com,https://www.techindia.com/,,,,10,0,10,13,33,,"EXISTED_NO_SW_WORDING — Wayback 20230601, no software wording",0,0,0,19351,"Wayback 2023-06: archived pre-2024, snapshot lacked software wording | Site: 'Aligning with HIPAA to safeguard and secure client data' | Careers/JD 19k chars: no VCS, CI or review mention | Homepage: cardiac monitoring, remote ICU services for hospitals",agent,
231,Skip,33,Inferred,Think Future Technologies Private Limited,Gurugram,tftus.com,https://www.tftus.com/,,,,10,0,10,13,33,,"EXISTED_NO_SW_WORDING — 2023-06-01 snapshot exists but does not advertise software work. +10, no cap-45.",0,0,0,7795,"tier_gold: 2023 snapshot existed, no software wording (+10) | jd: QA Automation Engineer, DevOps Engineer, Playwright named (+10) | site: owns SimplifyPath and AutomationTwin RPA products (+8) | site tech-stack lists Git only; no private host, no PR gate",agent,
232,Skip,30,Verified,Acceleron Solutions Private Limited,Kolkata,acceleronsolutions.io,https://acceleronsolutions.io/,,,,10,0,25,0,35,Generalist-agency: dev bundled with infrastructure AMC/IT support - cap at 30,"UNKNOWN - no Wayback snapshot and no RDAP record; missing, not absent",0,1,0,51157,JD: 'Perform code reviews to ensure code quality and adherence' | JD: 'Experience with version control systems like Git' (two roles) | Site: 'Infrastructure Annual Maintenance Contract (AMC)... maintenance and support' | Site: 'over last one decade... developed multiple products and solutions',agent,"Two things suppress a firm that reads better than 30. Gold is UNKNOWN - no snapshot and no RDAP, so pre-2024 status is unrecorded rather than disproved, even though their own copy claims a decade of product building. And the infrastructure-AMC/IT-support line triggers the generalist-agency cap. I also declined the +10 compliance point: their ISO 27001 text sells certification consulting to clients rather than claiming their own certificate."
233,Skip,30,Inferred,Adamas Tech Consulting Private Limited,Kolkata,adamastech.in,https://adamastechconsulting.com/,,,,10,0,10,18,38,cap30_generalist_agency,"EXISTED_NO_SW_WORDING - 2023-06 Wayback snapshot, no software wording; +10, no cap-45",0,0,0,0,"Site: 'ISO 9001, ISO 27001 certified, and CMMI Level 3' | Site services list bundles 'Web Design ... Branding ... Web Dev.' | Site: LMS, UMS and hospital management systems as products | No careers page reached; zero JD characters collected",agent,
234,Skip,30,Inferred,aQb Solutions Private Limited,Kolkata,aqbsolutions.com,https://www.aqbsolutions.com/,,,,25,0,10,0,35,generalist_agency_cap_30,"PROVEN: 2023-01-20 wayback advertises web, mobile and blockchain development",0,0,0,3784,Wayback 2023-01: 'Web Application Development Mobile Application Development' (tier_gold quote) | Site: 'ISO 27001: 2013 Certified' — change-control compliance (+10) | Site nav lists 'Digital Marketing' service alongside dev — agency bundle | Case studies still read 'Lorem Ipsum is simply dummy text' (site),agent,
235,Skip,30,Inferred,Arcite Technical Education Solutions Private Limited,Kollam,arcite.in,https://arcite.in/,,,,25,0,10,0,35,Training business -> cap 30,"PROVEN - 2020-06 snapshot, but it advertises Certiport certification programs",0,0,0,11351,"Site: 'ISO 9001-2015 certified institution' providing training programs | Site: founded 2015 to provide 'quality and affordable training programs' | Wayback 2020-06: Certiport certification portfolio, Microsoft Office Specialist | 11k chars of careers text with zero engineering signals",agent,"A technical-training institute and Certiport certification centre. Its PROVEN pre-2024 flag rests on a training-programme snapshot, not software delivery, so the full +25 overstates it; the training cap holds it at 30 regardless."
236,Skip,30,Inferred,Avineon India Private Limited,Hyderabad,avineon.com,https://www.avineon.com/en-us/home,,,,10,0,10,13,33,cap45_no_pre2024_software_evidence; cap30_helpdesk_support_bundled,"DOMAIN_ONLY - whois 2002-01-29 proves name ownership, not software work",0,0,0,0,Whois: avineon.com registered 2002 - name ownership only | Site: 'SEI-CMMI ML3 and ISO 9001:2015 registered firm' | Site: 'dedicated GIS administrator and GIS Support Helpdesk' | Site: built Esri accelerators; no careers or JD text collected,agent,"REJECTED as a multinational captive arm: Avineon India (Hyderabad) is the offshore delivery arm of US-headquartered Avineon Inc, and the site scored is the parent's. Core work is GIS data conversion and a support helpdesk, not software built and sold to clients."
237,Skip,30,Verified,Ayasya Digital Solutions LLP,Delhi,ayasya.com,https://www.ayasya.com,,,,25,25,0,20,70,generalist_agency_cap_30,Wayback 2023-06 advertised mobile app and website development,0,1,0,9325,JD: 'Participate in code reviews and maintain coding standards' | Site: own Karyastra delivery platform product | Site: 'Digital Marketing & SEO' named service line | Site: Fortune 500 bank AEM and Jahia engagements,agent,"A cap overrode real merit. Fortune 500 AEM/Jahia delivery, an owned platform product and a code-review JD produced raw 70, but 'Digital Marketing & SEO' sits on the services menu next to engineering, which caps at 30."
238,Skip,30,Verified,Azalio Technologies Private Limited,Mohali,azalio.io,https://www.azalio.io/,,,,10,25,15,0,50,generalist bundling: infrastructure/networking plus IT-operations automation - cap 30,"UNKNOWN - no snapshot, no RDAP; missing not absent, +10 and no 45 cap",0,3,4,120089,"JD: 'Ensure code quality through unit testing... and code reviews' | JD: Kubernetes, Docker, Terraform, Ansible, Jenkins CI/CD pipelines | Site: 'infrastructure and networking solutions... private, public, hybrid cloud' | JD: OpenShift platform operations, runbooks, ticket-triage automation",agent,"Real code-review and IaC language puts this at 50, but the business sold is telco infrastructure and IT-operations automation - networking, runbooks, ticket triage - not software built for clients, so the generalist-bundling cap overrides real merit. Pre-2024 status is unverifiable, not disproved."
239,Skip,30,Verified,Bluebash Consulting Private Limited,Mohali,bluebash.co,https://www.bluebash.co/,,,,25,0,35,20,80,Generalist-agency: SEO/SMM bundled with development - cap at 30,"PROVEN - 20230601 snapshot: 'Bluebash | Top Software Development Company In USA,UK'",0,2,0,129397,"Wayback 2023: 'Top Software Development Company In USA,UK' | JD: 'Oversee code reviews to ensure adherence to best practices' | Site: 'SEO Improvements' and 'Social Media Marketing' as service lines | Site: 'our applications are HIPAA compliant'; own products NextBrand, uCV",agent,"The sharpest cap-versus-merit case in the batch: 80 raw knocked to 30. Proven pre-2024 software positioning, real code-review language, HIPAA change-control, and two genuinely owned products (NextBrand, uCV). But fourteen DQ_agency hits including explicit 'SEO Improvements' and 'Social Media Marketing' service lines are the textbook generalist-agency signature, so the cap binds hard. The lone DQ_template hit was a prescription-template product feature and I ignored it."
240,Skip,30,Inferred,Citrus Informatics (India) Private Limited,Kochi,citrusinformatics.com,https://www.citrusinformatics.com/,,,,25,25,10,10,70,generalist agency: dev bundled with digital marketing and network/server management → cap 30,"PROVEN: 2023-06-01 nav 'Product Engineering, Application Development, Software Testing'",0,0,0,59459,"Services page: 'Code Review and Refactoring ... codebase ... code smells' | JD: 'JMeter, Selenium, Protractor, OWASP ZAP, Robot Framework, Appium' | Site also sells Digital Marketing and Network/Server Management | 14 JD pages, 59k chars: no git, PR or branching mention",agent,"Strongest engineering story in the batch at 70 before caps, but dev sits beside digital marketing and network/server management, which is the generalist-agency signature and caps it at 30. Tier A is the discounted services-page +25, not +40: code review is something they sell, and 14 job descriptions never mention a PR, a branch or a repo host."
241,Skip,30,Inferred,Cruzze Solutions LLP,Coimbatore,cruzzesolutions.com,https://cruzzesolutions.com/,,,,25,0,10,10,45,cap30_generalist_agency,"PROVEN - 2023-06 Wayback snapshot: 'Product & Mobile App Development, Design, Testing'",0,0,0,0,"Wayback 2023-06: 'Product & Mobile App Development, Design, Testing' | Site: 'secured ISO certifications, including ISO 27001' | Site: 'Procuring, installing, and maintaining computer hardware, servers, networking' | No careers page reached; zero JD characters collected",agent,
242,Skip,30,Inferred,Digital Aptech Private Limited,Kolkata,digitalaptech.com,https://www.digitalaptech.com/,,,,25,0,35,10,70,cap30_generalist_agency,"PROVEN - 2023-06 Wayback snapshot advertising web, mobile and IoT development",0,0,0,56437,"Site portfolio: 'BITBUCKET/ GIT' on Kolkata Police project stack | Site: 'We use strict testing processes, code reviews, and best practices' | Site: 'From SEO and content marketing to paid campaigns' | Site: ISO 9001:2015 and 'CMMI Dev- Level 3'; 56k JD chars, no signals",agent,"Strongest engineering evidence in the batch - Bitbucket named twice on delivered-project stacks plus an explicit code-review claim - but both live in portfolio and services marketing, while 56k characters of actual JD text carry neither, so Tier A was withheld and the review claim scored as Tier B. A full digital-marketing line (SEO, content, paid campaigns) then caps a raw 70 at 30. Worth a manual look despite the Skip band."
243,Skip,30,Verified,Dipole Tech Innovations (OPC) Private Limited,Mohali,dipoletechi.com,https://dipoletechi.com,,,,25,25,0,0,50,generalist_agency_cap_30,Wayback 2023-06 title: 'Web Development & Digital Marketing Company',0,1,0,83000,"JD: 'Participate in code reviews and contribute to continuous improvement' | Site: 'web development, mobile apps, MVP, SEO, SMO, SEM' | Site: SDLC models with agile and scrum described | Wayback 2023-06 title names digital marketing",agent,
244,Skip,30,Inferred,Eluminous Technologies Private Limited,Nasik,eluminoustechnologies.com,https://eluminoustechnologies.com,,,,25,0,10,0,35,generalist_agency_cap_30,PROVEN: 2023-06 wayback advertises web and mobile app development,0,0,0,15450,"Wayback 2023-06: 'Hire Dedicated Developers Web Application Development' | Careers: 7 open roles are digital marketing, PPC, virtual assistant | Site: ISO 27001, SOC 2, HIPAA compliance claims (+10) | Site: 'Using tools like GitHub Copilot, we've built AI-powered features'",agent,"A genuine pre-2024 dev shop, but every one of its seven open roles is marketing or virtual-assistant work, recent delivery is pitched via GitHub Copilot, and SEO/PPC/VA services sit beside development — the agency cap binds at 30."
245,Skip,30,Verified,Global Infovision Pvt Ltd,Hyderabad,globalinfovision.com,https://www.globalinfovision.com/,,,,25,25,10,0,60,Dev bundled with IT infrastructure management and BPO/managed services -> cap 30,"PROVEN - 2023 snapshot listed IT Consulting, Software Development (+25)",0,3,3,107983,"JD: 'Testing features and providing code reviews for other developers' | Site: 'certified with ISO 9001:2015, 27001:2013, and CMMI Level III' | Site: 'BPO & Managed Services' listed as a core service line | Site: service menu spans IT Infrastructure Management and System Integration",agent,"CMMI Level III and an explicit code-review JD line are genuine, but the service menu bundles software development with IT infrastructure management and a BPO/managed-services practice, triggering the generalist cap at 30. The dev evidence itself is also narrow - Salesforce admin/developer roles rather than product teams."
246,Skip,30,Inferred,IEMA Research & Development Private Limited,Kolkata,iemlabs.com,https://iemlabs.com/,,,,25,0,10,0,35,"generalist bundle: development with training courses - cap 30 (binding, from 35)",PROVEN: 2023-01 snapshot listing Web/Application and Software Development,0,0,0,0,"tier_gold_evidence: 2023 nav lists Web/Application and Software Development | site_quotes.pr_practice: 'Source Code Review' sold as security-audit service | site_quotes.DQ_training: bootcamps, diploma programmes, ethical-hacking courses | site_quotes.compliance: ISO 27001:2022, CMMI L3, CERT-In empanelled",agent,"This is the vendor trap the rubric warns about: both review-practice hits are 'Source Code Review' sold as a penetration-testing service, not evidence that IEMLabs reviews its own code, so no Tier A or review credit. Courses and audits are bundled with development, which caps it at 30 from a raw 35."
247,Skip,30,Verified,Incredible Visibility Solutions Private Limited,Kollam,incrediblevisibility.com,https://www.incrediblevisibility.com/,,,,25,25,0,0,50,generalist_agency_cap_30,"Wayback 2020-06 with CMS, ecommerce and portfolio pages",1,0,0,10751,"JD: 'Version control with TFS 2013 or higher' | Site: 'one of the best social media marketing agencies' | Site: PPC, SEO and content-marketing service cards | Wayback 2020-06 snapshot, marketing-led nav",agent,"The TFS line is the cleanest private-repo-host evidence in this batch, but the firm describes itself as a social-media marketing agency and sells PPC and SEO, so the agency cap overrides it."
248,Skip,30,Verified,InLogic Technologies Pvt Ltd,Chennai,inlogic.in,https://inlogic.in/,7,,Vino Ramayah (Chairman),25,25,15,10,75,generalist bundling: websites/portals plus managed IT support - cap 30,"PROVEN - 2023 snapshot: application development, websites, portals, e-commerce",2,0,3,105794,JD: 'continuous integration and continuous deployment using Azure DevOps' | JD: 'Developing using CI/CD DevOps models' | Site: services list 'cybersecurity... and managed IT support' | Site: 'Reliable Tech Support' pillar; Manage My Health healthcare client,agent,"Genuine Azure DevOps CI/CD job text would score 75, but the offering bundles websites, portals, Microsoft workplace productivity and managed IT support - the generalist-agency signature - so the cap overrides real merit. Recorded headcount of 7 also argues against a substantial owned codebase."
249,Skip,30,Inferred,ITTI Private Limited,Bengaluru,itti.com,https://www.itti.com/,,,,25,0,10,0,35,Generalist bundle — app dev with IT hardware/infra support: cap 30,"PROVEN: 2023-06-01 Wayback — 'Application Management Application Development, ERP Extenders'",0,0,0,3960,Wayback 2023: 'Application Development ... ERP Extenders ... LS Central for Retail' | Site: ISO 9001:2015 multi-shore delivery | Site: 'remote and onsite support ... maintenance of IT Hardware' | 4k chars careers text; no repo host or review gate,agent,
250,Skip,30,Inferred,Kryptos Technologies Private Limited,Chennai,kryptostech.com,https://kryptostech.com/,,,,25,0,15,10,50,cap 30 — dev bundled with MSP / data-centre / IT support,PROVEN — Wayback 20220601 Azure and web solution case studies,0,0,0,18551,Wayback 2022-06: Azure site recovery and web solution case studies | Site: 'containers ... microservices ... continuous delivery workflows' | Site: 'Your Trusted MSP for all IT & Business needs' | Site: 36 compliance hits are GDPR cookie-consent plugin boilerplate,agent,"The cap overrode real merit: a 50 raw built on a genuine cloud-native DevOps practice falls to 30 because dev is bundled with MSP, data-centre and infrastructure support in their own headline positioning. Also note the compliance count of 36 is cookie-banner boilerplate, not certification, so no +10 was given for it."
251,Skip,30,Inferred,Meru Technosoft Private Limited,Ahmedabad,merufintech.com,https://merufintech.com/,,,,10,0,20,0,30,,"EXISTED_NO_SW_WORDING: 2023-06-01 snapshot archived, no software wording",0,0,0,1355,"Wayback 2023: existed, snapshot named no software work | Site: SOC 2 Type II, GDPR and DPDP Act compliance | Site: '40+ people across engineering, QA, customer success, operations' | cicd hits are HelloGrowth CRM 'sales pipeline' product copy",agent,"Its pipeline hits are the sales pipeline of its own CRM product and the SEO/KPO flags belong to the founder's other ventures, so neither scores nor disqualifies; the product suite itself looks post-2024, leaving only a weak pre-2024 prior."
252,Skip,30,Verified,MKS Vision Private Limited,Hyderabad,mksvision.com,https://www.mksvision.com/,33,,William Moon (CEO and Founder),10,25,15,10,60,generalist bundling: networking/Windows admin/CAD staffing alongside dev - cap 30,"EXISTED_NO_SW_WORDING - 2023 snapshot, no software wording; weak +10",0,1,2,9734,"Naukri JD: 'perform code review tasks' supporting automation engineers | Naukri JD: 'Jenkins, Bamboo, CI/CD tools, AWS'; Bamboo-to-Jenkins migration | Naukri board: Palo Alto/F5 network engineers, Windows administrators listed | Naukri board: HVAC mechanical design and CAD customization roles",agent,"JD evidence is real and would score 60, but the sixteen Naukri listings expose a staffing bundle spanning network security, Windows administration and HVAC CAD design alongside developers, which is the generalist signature the rubric caps at 30. At 33 headcount an owned codebase is unlikely."
253,Skip,30,Inferred,North Shore Technologies Pvt Ltd,Noida,svam.com,https://svam.com/,406,,Anil Kapoor (President & CEO),25,0,20,10,55,"generalist bundle: dev with IT helpdesk/infrastructure support - cap 30 (binding, from 55)",PROVEN: 2022-06 snapshot listing service offerings and case studies,0,0,0,7293,"headcount_known: 406, inside the 50-600 target band | site_quotes.compliance: CMMI ML3 DEV 2.0 and CMMI Level 5, ISO 27001 | site_quotes.DQ_support: 'Infrastructure support, and IT Helpdesk' bundled | site_quotes.prod_eng: Mexico centre does nearshore development, product engineering",agent,"Real merit overridden by a cap. At 406 people, CMMI L5, a 2022 delivery snapshot and a QA/testing CoE it summed to 55, but development is bundled with IT helpdesk and infrastructure support in three separate places, which triggers the generalist cap at 30. If the caller reads SVAM as an engineering firm with an incidental support line rather than a true bundle, it belongs at 55 and Secondary — the best human-review candidate in this batch."
254,Skip,30,Verified,Oasys Tech Solutions Private Limited,Bhubaneswar,oasystspl.com,https://oasystspl.com,,,,25,25,15,10,75,Dev bundled with networking/IT-support/CCTV service line -> cap 30,PROVEN - 2023 snapshot showed delivered case studies (+25),0,3,3,13179,"JD: 'Ensure code quality through regular code reviews' front-end lead | JD: 'Implement DevOps practices (CI/CD pipelines, containerization, cloud deployments)' | Careers: Network Support Engineer - firewall, switching, CCTV installation | Site: end-to-end product engineering services across product lifecycle",agent,"The engineering evidence is real (explicit code-review gate, named DevOps stack, product-engineering positioning) and would have landed 75. It is overridden by the Step-3 generalist cap: they staff and sell networking, server administration and CCTV support alongside development, which is exactly the IT-support bundling the rubric caps at 30."
255,Skip,30,Verified,Planet Web Solutions Pvt Ltd,Jaipur,planetwebsolution.com,https://www.planetwebsolution.com/,,,,25,25,10,10,70,template_shop_minus_15; generalist_agency_cap_30,"Wayback 2023-06 advertised web, Magento and ecommerce development",0,1,0,10663,"JD: 'Git / Github (commits, branches, pull requests)' | Site: SEO, SEM, PPC and content-marketing packages | Site: 'Ready To Use Custom Solutions' ready-made products | Wayback 2023-06 listed Magento development services",agent,"A cap overrode real merit: genuine pull-request wording in the JD carried it to raw 70, but the sold bundle is development plus SEO, backlinks and Amazon account management, and the ready-made-solutions shelf adds the template penalty."
256,Skip,30,Inferred,Polosoft Technologies Private Limited,Bhubaneswar,polosoftech.com,https://www.polosoftech.com/,,,,25,0,15,10,50,generalist agency: dev bundled with network/datacenter design and CMS storefronts → cap 30,"PROVEN: 2023-06-01 nav lists Android, iOS, Xamarin mobility and eCommerce builds",0,0,0,22895,"Site: 'CI/CD pipelines (Jenkins, GitLab CI, GitHub Actions)', Terraform, Ansible | Wayback 2023: CAD drawing, WordPress, Magento, Shopify, WooCommerce | Site: network LLD, cabling layouts, IP addressing schemes | 2 careers pages, 23k chars: no git or review mention",agent,"Carries the batch's only named-tool CI/CD quote, but it is a cloud-services sales page describing what they implement for clients, not a JD, and dev sits beside CAD drawing, CMS storefronts and datacenter cabling design — the generalist signature caps 50 down to 30."
257,Skip,30,Verified,Position2 Marketing Pvt Ltd,Bengaluru,position2.com,https://www.position2.com,,,,10,40,10,13,73,Generalist-agency signature (SEO/PPC/marketing bundled with dev) -> cap 30,"EXISTED_NO_SW_WORDING - 2023 snapshot, no software wording (+10)",1,2,2,30524,"JD tool list: 'Git (GitHub, GitLab, Bitbucket)' - private host named | JD: 'conduct code reviews, enforce coding standards' - senior dev role | Site: 'certified in ISO 27001:2022 and SOC 2 Type II' | Site: 'Paid Marketing > SEO > Marketing Automation > Account Based Marketing'",agent,"meets_tier_a fired and earned the full +40, but the firm is a demand-gen marketing agency (SEO/PPC/ABM) with dev bundled in, so the Step-3 agency cap of 30 overrides genuine JD-level review-gate merit. The Bitbucket hit is also a laundry-list stack mention, not a described workflow."
258,Skip,30,Verified,Samyak Infotech Pvt Ltd,Ahmedabad,samyak.com,https://www.samyak.com/,,,,10,25,25,15,75,Generalist-agency signature (dev bundled with digital marketing and IT support) - cap 30,"EXISTED_NO_SW_WORDING - archived 2023-06, snapshot lacked software wording",3,0,0,56074,JD: 'Integrate TFS Source control in Visual Studio Code' - private host | Site: 'Software Development... Digital Marketing... IT Support and Maintenance' bundle | Site: 'DevOps Solutions... CI/CD pipelines and process automation'; Azure DevOps | Site: 'Regular code reviews and testing' in their stated QA process,agent,"A cap overrode real merit here. TFS in the JD is unambiguous private-repo evidence and the Azure DevOps/CI-CD story is substantive - raw 75 - but their own outsourcing menu bundles Software Development with Digital Marketing and IT Support and Maintenance, which is exactly the generalist-agency signature, so cap-at-30 applies. Tier A stayed at 25 rather than 40 because the code-review sentence lives in site marketing copy, not the JD."
259,Skip,30,Inferred,SKI Infosolutions Private Limited,Mumbai,skinternational.com,https://www.skinternational.com/,,,,25,0,25,0,50,generalist_agency_cap_30,PROVEN: 2023-06 wayback shows a portfolio and a dated 2021 blog post,0,0,1,20872,"JD: 'Adherence to coding standards in CI/CD pipeline... deployment to production' | Site: 'setting up PCs, peripheral devices and networks' — infra heritage | Site: 'added significant value to IT datacentre operations like banks' | Wayback 2023-06: portfolio plus '26 January, 2021' blog post",agent,"A real CI/CD hiring line, but the business is a 1984-vintage hardware, networking and datacentre solution provider with software bolted on, so development is bundled with IT infrastructure support and the generalist cap binds at 30, halving a raw 50."
260,Skip,30,Inferred,Smartncode Technologies Private Limited,Hyderabad,smartncode.com,https://smartncode.com,,,,25,0,25,0,50,Generalist-agency signature (dev bundled with SEO/digital marketing) -> cap 30,"PROVEN - 2023-06 snapshot listed software, web and mobile development",0,0,0,7127,"Site tech stack: 'Docker, Kubernetes, Jenkins, Git, Ansible, Terraform' | Site: 'ISO 9001:2015' and 'ISO 27001:2022 certified' own certifications | Wayback 2023-06 menu: 'Software Development ... SEO Digital Marketing It Outs[ourcing]' | Careers page not reached; jd_chars 0",agent,"The agency cap was fired on their own archived service menu (Software Development, Web, Mobile, SEO, Digital Marketing, IT Outsourcing) because the crawl never reached a current services or careers page - the live crawl found no DQ evidence either way. Without that call it scores 50 and lands in Secondary, so it is worth re-checking whether SEO is still sold."
261,Skip,30,Verified,Sourcemash Technologies Private Limited,Punjab,sourcemash.com,https://sourcemash.com/,,,,10,40,35,20,105,Generalist-agency signature (dev bundled with SEO/SMM/ITSM support) - cap at 30; Cap total at 100,EXISTED_NO_SW_WORDING - archived 2023-06 but snapshot did not mention software,3,1,3,130996,"JD: 'create pull requests, and manage code changes using Bitbucket' | JD: 'pull-request-based collaboration (Bitbucket experience preferred)' | Site: 'SEO Social Media MarTech Performance Marketing' sold beside dev | Site: ISO 27001, SOC 2 Type II, CMMI Level 3 badges",agent,"A cap overrode real merit. This has the single strongest private-repo evidence in the batch - two JD lines naming Bitbucket pull-request workflow explicitly - plus ISO 27001, SOC 2 Type II and CMMI L3, and would score 100. But dev is bundled with Digital Growth Services (SEO, social, performance marketing) and 24/7 ITSM/infrastructure support, which is the generalist-agency signature and caps the total at 30. Worth a manual override check: if the marketing line is a small side business, this is a Priority target."
262,Skip,30,Verified,TechBrein Solutions Private Limited,Kozhikode,techbrein.com,https://techbrein.com/,,,,25,25,0,0,50,generalist_agency_cap_30,Wayback 2023-06 cloud-partner site with case studies,0,1,0,31592,"JD: 'Write clean, maintainable code and participate in code reviews' | Site: SEO offering and SEO-for-small-business blog | Site: managed Linux services, 24x7 server monitoring | Wayback 2023-06 'Your Trusted Cloud Partner' snapshot",agent,"Agency cap is certain on the SEO line. Managed-Linux support is a real service line that would cap at 20, but I could not establish it as the core business, so I withheld the lower cap rather than take it on one quote."
263,Skip,30,Inferred,Techies India Inc.,Ludhiana,techiesindiainc.com,https://techiesindiainc.com/,,,,25,0,35,0,60,cap 30 - generalist-agency signature: dev bundled with digital marketing / SEO / media buying,"PROVEN - 2020-06-01 Wayback title 'Magento Development Company - Mobile Application Development Services'; genuine build wording, full +25",0,0,0,7037,"JD: 'Working Knowledge of Git' - version control, no repo host named | JD: 'Knowledge of Agile (Scrum) methodology Experience with unit testing' | Site: 'custom development, eCommerce, and digital marketing', 'Media Buying' | Team page lists 'SEO Specialist' beside developers and QA",agent,"Would have been the second-strongest raw score here (60) on a genuine JD Git mention plus a named QA team, but the site sells development bundled with SEO, media buying and digital marketing - the generalist-agency cap at 30 is what places it, not the evidence. Tier A withheld: Git alone, no Bitbucket/Azure DevOps and no review gate."
264,Skip,30,Inferred,Terralogic Software Solutions Private Limited,Bengaluru,terralogic.com,https://terralogic.com/,18,yes,Renil Komitla (Co-Founder),25,0,20,13,58,"cap 30 - dev bundled with digital marketing, SEO, SMO and helpdesk",PROVEN - 2020-06-01 snapshot titled 'Terralogic - Software Development and IT Services Company',0,0,0,100211,"Wayback 2020: 'Terralogic - Software Development and IT Services Company' | Site: 'Digital Marketing, SEO, SMO and User experience (UI/UX)' bundled | Site: ISO 27001 and ISO 9001:2015 certified | 100k chars of JD read; no repo host, review gate or CI",agent,"Would have scored 58 on an 18-year software record, ISO certifications and a client testimonial about running their QA-automation arm, but it sells SEO, SMO, digital marketing and multi-channel helpdesk alongside development, which is the generalist-agency signature and caps it at 30. Also flag that the site claims 1400+ professionals against a recorded headcount of 18."
265,Skip,30,Inferred,TestVagrant Technologies Private Limited,Bengaluru,testvagrant.com,https://testvagrant.com,114,yes,Nishant V. (CEO),10,0,10,10,30,,"EXISTED_NO_SW_WORDING — 2022-06-01 snapshot exists but does not advertise software work. +10, no cap-45.",0,0,0,890881,"tier_gold: 2022 snapshot existed, no software wording (+10) | jd: 890,881 chars via Zoho Recruit, zero repo-host or review-gate | site: 14 QA hits — test automation is their sold service line | site: 'version control' hit is generic collaboration-tools prose",agent,"This is the clearest withheld-Tier-A case in the batch: 890k characters of live Zoho Recruit job descriptions were read and not one named Bitbucket, Azure DevOps, a merge request or a code review. For a test-engineering firm that is close to disqualifying. The QA +10 was still awarded because they demonstrably build test automation frameworks for clients, but their QA vocabulary is product marketing, so it carries no inference about their own review gate."
266,Skip,30,Inferred,Uniq Technologies,Chennai,uniqtechnologies.co.in,http://www.uniqtechnologies.co.in,,,,25,0,10,0,35,Generalist-agency signature: cap 30,PROVEN: 2023-06-01 Wayback snapshot listing software and web services,0,0,0,44719,"Wayback 2023: 'Civil Services Mechanical Services ... Domain name registration' | Site: ISO 9001:2015, 'experts from MNCs like TCS, WIPRO' | Blog is SEO marketing content, not engineering writing | 5 careers pages, 45k chars, zero engineering signals",agent,"The archived service list spans civil and mechanical work alongside web design and domain registration, and the blog is SEO copy — a student-project and general-agency shop rather than a firm that built and sold client software."
267,Skip,30,Verified,Vortex Infosolutions LLP,Lucknow,vortexglobalservices.com,https://www.vortexglobalservices.com/,,,,10,25,0,0,35,Generalist-agency signature (SEM/ad management bundled with dev) - cap 30,"EXISTED_NO_SW_WORDING - archived 2023-06, snapshot lacked software wording",0,1,1,42967,"JD: 'code quality... through testing, code reviews, and continuous integration' | Site: 'Search Engine Marketing, Ad Management', '2.5x Return on Ad Spend' | Site: 'Complete rebranding & design overhaul' is the flagship case study | Gold: archived 2023-06 but that snapshot lacked software wording",agent,"The agency cap did the work. There is a genuine code-review-plus-CI sentence in the JD (Tier A +25), but the site's headline case study is rebranding, SEM and ad management with ROAS metrics - the textbook generalist-agency signature - so the cap-at-30 overrides the engineering signal. Tier C could not fire without corroborated positioning."
268,Skip,30,Inferred,WiztekIT Solutions Private Limited,Hyderabad,wiztekit.com,https://wiztekit.com/,,,,10,0,25,0,35,Generalist-agency signature: cap 30,"UNKNOWN: no Wayback snapshot and no RDAP record — missing, not absent (+10)",0,0,6,17208,"JD: 'Knowledge of DevOps, CI/CD, and database management' | Site: digital marketing, branding and campaign dashboards beside development | Site: positioned as IT staffing and consulting provider | No snapshot or RDAP record, so pre-2024 existence unproven",agent,
269,Skip,30,Verified,Youngminds Technology Solutions Private Limited,Tirupati,ymtsindia.com,https://ymtsindia.com/,,,,25,25,0,13,63,Generalist-agency signature (digital marketing bundled with dev) -> cap 30,PROVEN - 2020 snapshot: 'Software Development Company in Tirupati' (+25),0,20,12,277551,"JD: 'Participate in code reviews and maintain version control using Git' | Site: 109 digital-marketing hits, testimonials praising their marketing work | Careers: Desktop Support Engineer, telecalling, educational counselling roles | Site: owns SchoolSoft and a food-processing compliance platform",agent,"Real code-review wording and owned products, but the site is dominated by digital-marketing testimonials (109 hits) and the careers page mixes desktop support, telecalling and admissions counselling with development. That is the generalist-shop signature the rubric caps at 30. CI/CD and testing language is all 'basic knowledge' junior-level, so no Tier B credit."
