name,city,domain,website,agent_relevant,confidence,prod_or_serv,founded_year_site,founded_year_text,what_they_do,evidence,my_regex_said,YOUR VERDICT,NOTES
Institute for Development and Research in Banking Technology (IDRBT),Hyderabad,idrbt.ac.in,https://www.idrbt.ac.in,no,high,unclear,,,academic research institute and training centre for banking technology,Institute has restructured its Research Centres; Certification Programmes; Assistant Professors recruitment,ambiguous,,
ISEC Services Private Limited,Mumbai,isec.co.in,https://www.isec.co.in/,no,high,unclear,,,"security audits, penetration testing, compliance and BCP consulting for banks","Security Audit Services, Vulnerability Assessments, Penetration Testing, Compliance Audits",ambiguous,,
Jones Lang LaSalle Property Consultants (India) Private Limited,New Delhi,jll.co.in,https://www.jll.com/en-in/,no,high,unclear,,,"commercial real estate brokerage, property investment and facilities management","""Commercial real estate and property investment""; industry insights, listed properties, REITs, GCC siting",ambiguous,,
KIOPL Management Solutions India Private Limited,Gurugram,kkr.com,https://www.kkr.com/,no,high,unclear,1976,,"global private equity, credit, infrastructure and real estate investment firm","""KKR is a leading global investment firm""; private equity, credit, infrastructure AUM figures",ambiguous,,
M&G Global Services Private Limited,Mumbai,prudential.co.uk,https://group.mandg.com/,no,high,unclear,,,"asset management, life and pensions savings and investment products","""a leader in savings and investments""; ""combines global asset management with life and pensions""",ambiguous,,
mokSa Technologies India Pvt Ltd,Gurugram,moksatechnologies.com,https://www.moksatechnologies.com/,no,medium,unclear,2009,,Genesys contact-centre partner doing CX implementation and consulting,"""Pure Play Genesys Partner with Global footprint""; ""CX implementations in 10+ countries""",software_dev,,
Murata Vios Private Limited,Bengaluru,viosmedical.com,https://www.viosmedical.com/,no,medium,unclear,,,remote cardiac telemetry and vital-signs patient monitoring program for hospitals,"""hospital-grade cardiac telemetry... 24/7 remote monitoring by certified ECG technicians""; no development claim",ambiguous,,
NetAmbit ValueFirst Services Private Limited,Gautam Buddha Nagar,netambit.com,https://netambit.com/,no,high,unclear,2000,,"sales process outsourcing, call centre and contract staffing services","Managed Sales Process, Call Centre Services, Staffing Solutions; sales process outsourcing teams",software_dev,,
Netflix Entertainment Services India LLP,Mumbai,about.netflix.com,https://about.netflix.com/en,no,high,unclear,,,"streaming entertainment: series, films and games for global subscribers","""We are here to entertain the world""; ""Netflix delivers the next series, films and games""",ambiguous,,
Nike India Technology Center Private Limited,Bengaluru,about.nike.com,https://about.nike.com/en/,no,high,unclear,,,"athletic footwear and apparel brand, sport product innovation","""The official website for NIKE, Inc., Converse and Jordan Brands""; footwear, apparel, athlete stories",ambiguous,,
Novo Nordisk Service Center India Pvt Ltd,Bengaluru,novonordisk.com,https://www.novonordisk.com/,no,high,unclear,,,"pharmaceutical manufacturer of prescription medicines, diabetes and obesity drugs","R&D pipeline, semaglutide, falsified medicines guidance; ""accelerate drug discovery"" as buyer of AI",ambiguous,,
PB Fintech Limited,Gurugram,pbfintech.in,https://www.pbfintech.in/,no,medium,unclear,,,"online insurance and lending marketplace (Policybazaar, Paisabazaar) distribution","""India's largest online platform for Insurance & Lending products"" — distributes insurance, not software",ambiguous,,
PHi Business Solutions Ltd,Chandigarh(CH),phi.co.in,https://phi.co.in/,no,medium,unclear,,,"data digitization, prepress, ePublishing, eLearning content and translation","Data Digitization, PrePress, ePublishing, Content Creation, Translation; legacy data conversion services",ambiguous,,
Provalidate Services Private Limited,Hyderabad,provalidate.in,https://provalidate.in/,no,high,unclear,,,employee background verification and pre-employment screening checks,"""cost-effective and customized background check solutions""; site itself ""Developed By: Delta-i Software""",ambiguous,,
Quatrro Global Services Pvt Ltd,Gurugram,quatrro.com,https://quatrro.com/,no,high,unclear,,,"business and knowledge process outsourcing, mortgage and finance back-office","""offering business and knowledge processing services""; ""pioneers of the Indian Business Process Outsourcing industry""",ambiguous,,
Relativity Management Solutions India Private Limited,Coimbatore,relativity.co.in,https://relativity.co.in/,no,high,unclear,2008,,"payroll outsourcing, statutory and TDS compliance, accounting for enterprises",End-to-End Payroll and HR Compliance Services; Payroll Outsourcing; Statutory Compliance; Accounting,ambiguous,,
Rio Tinto India Private Limited,Gurugram,riotinto.com,https://www.riotinto.com,no,high,unclear,,,"global metals and mining producer, iron ore and aluminium",mission to become the world's most valued metals and mining business,ambiguous,,
Russell Reynolds Associates India Private Limited,Gurugram,russellreynolds.com,https://www.russellreynolds.com/en/,no,high,unclear,2022,,executive search and board/CEO leadership advisory,"executive search consultants help you recruit great CEOs, CxOs, and board members",ambiguous,,
Saveetha Engineering College (A college of Saveetha Medical and Educational Trust),Chennai,saveetha.ac.in,https://saveetha.ac.in/,no,high,unclear,2001,,engineering college offering BE/BTech/ME/MBA degree programmes,"Best Engineering College in Tamilnadu, Admissions Open 2026-27, B.E / B.TECH / M.E / MBA",ambiguous,,
Shard Center for Innovation Private Limited,Gautam Buddha Nagar,scilindia.org,https://scilindia.org/,no,high,unclear,,,"STEM training courses in AI, robotics, drones and 3D printing","our AI programs empower the participants; Admissions; AI, Robotics & Innovation Lab classes",ambiguous,,
Skilliantech India Private Limited,Hyderabad,skillrecruit.com,https://www.skillrecruit.com/,no,high,unclear,2005,2005,IT and engineering recruitment and contract staffing across UK/EMEA/APAC,IT and Engineering Recruitment Specialists; Global IT and Leadership Staffing Solutions Provider,software_dev,,
Smith & Nephew GBS Private Limited,Pune,smith-nephew.com,https://www.smith-nephew.com/en/,no,high,unclear,,,"medical devices: wound care, sports medicine, orthopaedic implants","portfolio medical technology company focused on repair, regeneration and replacement of tissue",ambiguous,,
TechBrein Solutions Private Limited,Kozhikode,techbrein.com,https://techbrein.com/,no,medium,unclear,2006,,"cloud consulting, managed cloud infrastructure and Linux server management","Managed Service Provider, Cloud Consultant; Managed Cloud Services, Managed Linux Servers, CloudOps",software_dev,,
TechWise Digital Private Limited,New Delhi,techwisedigital.com,https://techwisedigital.com/,no,high,unclear,,,"IT contract staffing, contract-to-hire and vendor management",India's leading IT Staffing agency; Just-In-Time IT Staffing Solutions; Contract-to-Hire,ambiguous,,
Trusted Support Services Private Limited,Delhi,tsspl.org,http://www.tsspl.org,no,high,unclear,,,employee background verification and screening services across India,Comprehensive Employee Background Verification Services; Criminal Record Verification; Drug Screening,ambiguous,,
Uncodemy Edutech Private Limited,Noida,uncodemy.com,https://uncodemy.com/,no,high,unclear,,,"IT training institute teaching data science, full stack, testing courses",Uncodemy - India's Best IT Training Institute in Noida Delhi; Courses; PG Programs,software_dev,,
UTI Infrastructure Technology and Services Limited,Navi Mumbai,utiitsl.com,https://www.utiitsl.com/,no,medium,unclear,1993,,"PAN card processing, Aadhaar kendras, medical bill processing, mutual fund distribution",appointed for purpose of receiving and processing of PAN applications; Medical Bill Processing,ambiguous,,
